,"0-100
0: like normal breathing
100: impossible","NASA-TLX (1-20)
1: very low 20: very high",(1-20),(1-20),(1-20),(1-20),(1-20)
trajectory,Difficulty,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
1,10,4,2,2,15,5,2
2,6,3,1,1,17,4,1
3,5,2,1,1,17,3,1
4,80,15,15,17,5,15,10
5,82,16,16,18,4,15,12
6,88,17,17,18,3,16,14
7,89,17,18,19,3,17,15
8,88,16,17,18,3,16,15
9,4,2,1,1,16,2,1
10,3,1,1,1,17,2,1
11,75,15,14,16,5,14,13
12,80,16,15,17,5,15,14
13,70,14,13,15,7,12,10
14,85,16,16,17,3,14,15
15,65,16,17,17,8,15,9
