scored	WPSize	time	distnace	score
1	0.3	2.876	0.2550898	0.02941176

0	0.3	2.56	0.6132202	0.02941176

0	0.3	5.788001	1.443531	0.02941176

0	0.3	5.336	37.55443	0.02941176

0	0.3	4.647999	4.04051	0.02941176

0	0.3	2.652	1.478463	0.02941176

0	0.3	2.704	6.196831	0.02941176

0	0.3	2.592001	0.6928495	0.02941176

0	0.3	4.688	6.6789	0.02941176

0	0.3	2.683998	1.745857	0.02941176

0	0.3	4.044003	9.772453	0.02941176

0	0.3	2.692001	0.8396096	0.02941176

1	0.3	3.595997	0.146393	0.05882353

1	0.3	2.576	0.2911534	0.0882353

0	0.3	2.980003	5.54771	0.0882353

0	0.3	2.863998	5.026258	0.0882353

0	0.3	2.708	4.732187	0.0882353

0	0.3	3.007999	12.0282	0.0882353

0	0.3	2.692001	14.78044	0.0882353

0	0.3	2.699997	6.763244	0.0882353

0	0.3	2.676003	2.272789	0.0882353

0	0.3	2.584	0.9561642	0.0882353

0	0.3	4.160004	5.008985	0.0882353

0	0.3	2.955994	8.865135	0.0882353

0	0.3	3.928001	0.6847023	0.0882353

0	0.3	2.568001	1.274916	0.0882353

0	0.3	2.700005	2.082909	0.0882353

0	0.3	2.568001	0.4083449	0.0882353

1	0.3	2.663994	0.1808854	0.1176471

0	0.3	2.604004	0.5286481	0.1176471

0	0.3	3.683998	1.123047	0.1176471

0	0.3	2.588005	1.463152	0.1176471

1	0.3	4.003998	0.252471	0.1470588

1	0.3	2.552002	0.1212419	0.1764706

