scored	WPSize	time	distnace	score
0	0.3	2.892	1.042063	0

0	0.3	2.624	0.307881	0

0	0.3	2.724	2.791222	0

0	0.3	2.596	0.3981436	0

1	0.3	3.900001	0.1511939	0.02941176

0	0.3	2.624	1.796384	0.02941176

0	0.3	5.4	17.54199	0.02941176

0	0.3	3.048	1.386187	0.02941176

0	0.3	2.780001	0.7706025	0.02941176

0	0.3	2.636	2.403007	0.02941176

0	0.3	2.744001	1.251272	0.02941176

0	0.3	2.908001	0.6993588	0.02941176

0	0.3	4.683998	6.159509	0.02941176

0	0.3	2.976002	6.048344	0.02941176

0	0.3	3.947998	12.07283	0.02941176

0	0.3	2.728001	1.303845	0.02941176

0	0.3	2.712002	1.554442	0.02941176

0	0.3	2.591999	1.401703	0.02941176

0	0.3	3.759998	0.6962887	0.02941176

0	0.3	2.584003	1.142749	0.02941176

0	0.3	2.855999	0.8063371	0.02941176

0	0.3	3.924004	17.07733	0.02941176

0	0.3	3.491997	2.953005	0.02941176

0	0.3	4.823997	18.006	0.02941176

0	0.3	4.156006	0.6342517	0.02941176

0	0.3	2.967995	4.918132	0.02941176

0	0.3	3.388	0.7946988	0.02941176

0	0.3	2.68	0.8707039	0.02941176

0	0.3	2.875999	1.492423	0.02941176

0	0.3	2.588005	1.432764	0.02941176

0	0.3	3.012001	1.676611	0.02941176

0	0.3	3	9.827229	0.02941176

0	0.3	3.112	0.3378752	0.02941176

0	0.3	2.563995	1.114456	0.02941176

