scored	WPSize	time	distnace	score
1	6	2.864	0.9762571	0.02941176

1	6	2.564	2.280301	0.05882353

1	6	2.604	1.031604	0.0882353

1	6	2.576	2.305096	0.1176471

1	6	3.492	1.570268	0.1470588

1	6	2.584	2.970102	0.1764706

1	6	3.468	1.770874	0.2058824

1	6	2.560001	1.654932	0.2352941

1	6	2.671999	1.144003	0.2647059

1	6	2.6	4.242001	0.2941177

1	6	3.404001	1.135177	0.3235294

1	6	2.559999	1.021241	0.3529412

1	6	2.655998	2.181153	0.3823529

1	6	2.588001	1.830834	0.4117647

1	6	3.524002	1.106499	0.4411765

1	6	2.543999	2.403391	0.4705882

1	6	2.588001	1.226066	0.5

1	6	2.576	2.725979	0.5294118

1	6	3.467999	0.7341661	0.5588236

1	6	2.560001	2.089267	0.5882354

1	6	2.591999	1.683689	0.6176472

1	6	2.556	3.310116	0.647059

1	6	2.612003	2.595179	0.6764708

1	6	2.603996	1.710388	0.7058825

1	6	3.848	4.190451	0.7352943

1	6	2.556	3.608707	0.7647061

1	6	3.572006	1.299122	0.7941179

1	6	2.591995	3.904449	0.8235297

1	6	3.419998	1.565988	0.8529415

1	6	2.556	0.9582489	0.8823533

1	6	2.648003	3.261416	0.9117651

1	6	2.576004	2.768239	0.9411769

1	6	2.571999	2.69171	0.9705887

1	6	2.563995	0.3002933	1

