Time	Trigger	autoControlCoef	UserInput	UserInput	UserInput	UserInput	AutoInput	AutoInput	AutoInput	AutoInput	CombinedInput	CombinedInput	CombinedInput	CombinedInput	DiffHumanAuto	DiffHumanAuto	CurrentPos	CurrentPos	CurrentPos	TargetPos	TargetPos	TargetPos	
0	0	1	0	0	1	0.6	-0.0008768979	0	0	0.6	0	0	0	12	0.07912925	0	-840.5125	381	508.7144	-852.2344	381	481.0992	
0.004	1	1	0	-0.008659421	1	0.6	0	-0.008619291	0	0.6	0	-1.299779	0	12	0.05934694	0.08644162	-840.5125	380.9998	508.7143	-852.2344	381	481.0992	
0.008	0	1	0	-0.008659421	1	0.6	0	-0.008570408	0	0.6	0.00169221	-0.122703	0	12	0.0445102	0.1509677	-840.5125	380.9995	508.7142	-852.2344	381	481.0992	
0.012	0	1	0	-0.008659421	1	0.6	0	-0.00851125	0	0.6	0.001789224	0.4659787	0	12	0.03338265	0.1989044	-840.5126	380.9991	508.7141	-852.2344	381	481.0992	
0.016	0	1	0	-0.008659421	1	0.6	-0.0008761663	-0.008437649	0	0.6	0.001916195	1.05465	0	12	0.1041662	0.2342161	-840.5127	380.9984	508.7138	-852.2344	381	481.0992	
0.02	0	1	0	-0.008659421	1	0.6	0	-0.008351766	0	0.6	0.002070237	1.643037	0	12	0.07812468	0.2599064	-840.5129	380.9977	508.7134	-852.2344	381	481.0992	
0.024	0	1	0	-0.008659421	1	0.6	0	-0.008252935	0	0.6	0.002238983	2.230824	0	12	0.05859351	0.2782281	-840.5131	380.9967	508.7129	-852.2344	381	481.0992	
0.028	0	1	0	-0.008659421	1	0.6	0	-0.008140654	0	0.6	0.002430714	2.817655	0	12	0.04394513	0.2908708	-840.5134	380.9956	508.7122	-852.2344	381	481.0992	
0.032	0	1	0	-0.008659421	1	0.6	0	-0.00801454	0	0.6	0.002654089	3.403147	0	12	0.03295885	0.2991015	-840.5138	380.9944	508.7114	-852.2344	381	481.0992	
0.036	0	1	0	-0.008659421	1	0.6	0	-0.007874301	0	0.6	0.002898813	3.986894	0	12	0.02471914	0.3038708	-840.5142	380.993	508.7103	-852.2344	381	481.0992	
0.04	0	1	0	-0.008659421	1	0.6	-0.0008763561	-0.007719709	0	0.6	0.003148464	4.568469	0	12	0.0976686	0.3058913	-840.5148	380.9914	508.7091	-852.2344	381	481.0992	
0.044	0	1	0	-0.008659421	1	0.6	-0.0008747593	-0.007550593	0	0.6	0.003423408	5.147434	0	12	0.1523807	0.3056978	-840.5154	380.9897	508.7077	-852.2344	381	481.0992	
0.048	0	1	0	-0.008659421	1	0.6	0	-0.007366816	0	0.6	0.003720161	5.723345	0	12	0.1142855	0.303691	-840.5161	380.9878	508.706	-852.2344	381	481.0992	
0.052	0	1	0	-0.008659421	1	0.6	0	-0.00716827	0	0.6	0.003988485	6.295752	0	12	0.08571415	0.3001718	-840.5168	380.9858	508.7042	-852.2344	381	481.0992	
