Time	Trigger	autoControlCoef	UserInput	UserInput	UserInput	UserInput	AutoInput	AutoInput	AutoInput	AutoInput	CombinedInput	CombinedInput	CombinedInput	CombinedInput	DiffHumanAuto	DiffHumanAuto	CurrentPos	CurrentPos	CurrentPos	TargetPos	TargetPos	TargetPos	
0	0	1	0	0	1	0.6	-0.0008768979	0	0	0.6	-0.1381114	0	-0.07892081	12	0.07912925	0	-840.5125	381	508.7144	-852.2344	381	481.0992	
0.004	1	1	0	0	1	0.6	0	1.525871E-05	0	0.6	0	0.002290333	0	12	0.05934694	0.0001525879	-840.5125	380.9998	508.7143	-852.2344	381	481.0992	
0.008	0	1	0	0	1	0.6	0	4.577549E-05	0	0.6	0.001692426	1.184815	0	12	0.0445102	0.0005722046	-840.5125	380.9995	508.7142	-852.2344	381	481.0992	
0.012	0	1	0	0	1	0.6	0	9.154863E-05	0	0.6	0.001790388	1.781238	0	12	0.03338265	0.001344681	-840.5126	380.9991	508.7141	-852.2344	381	481.0992	
0.016	0	1	0	0	1	0.6	-0.0008761663	0.0001556263	0	0.6	-0.1360765	2.380405	-0.07885497	12	0.1041662	0.002564907	-840.5127	380.9984	508.7138	-852.2344	381	481.0992	
0.02	0	1	0	0	1	0.6	0	0.0002349519	0	0.6	0.002077944	2.981588	0	12	0.07812468	0.004273534	-840.5129	380.9977	508.7134	-852.2344	381	481.0992	
0.024	0	1	0	0	1	0.6	0	0.0003295184	0	0.6	0.002257902	3.58447	0	12	0.05859351	0.006501049	-840.5131	380.9967	508.7129	-852.2344	381	481.0992	
0.028	0	1	0	0	1	0.6	0	0.0004393173	0	0.6	0.002461618	4.188701	0	12	0.04394513	0.009270318	-840.5134	380.9956	508.7122	-852.2344	381	481.0992	
0.032	0	1	0	0	1	0.6	0	0.0005643382	0	0.6	0.002693059	4.7939	0	12	0.03295885	0.01259849	-840.5138	380.9944	508.7114	-852.2344	381	481.0992	
0.036	0	1	0	0	1	0.6	0	0.0007045685	0	0.6	0.00295648	5.399665	0	12	0.02471914	0.01649843	-840.5142	380.993	508.7103	-852.2344	381	481.0992	
0.04	0	1	0	0	1	0.6	-0.0008763561	0.0008599941	0	0.6	-0.1347985	6.005571	-0.07887205	12	0.0976686	0.02097978	-840.5148	380.9914	508.7091	-852.2344	381	481.0992	
0.044	0	1	0	0	1	0.6	0	0.001030599	0	0.6	0.003557095	6.611186	0	12	0.07325146	0.02604977	-840.5154	380.9897	508.7077	-852.2344	381	481.0992	
0.048	0	1	0	0	1	0.6	0	0.001216365	0	0.6	0.00389429	7.216067	0	12	0.05493859	0.03171384	-840.5161	380.9878	508.706	-852.2344	381	481.0992	
0.052	0	1	0	0	1	0.6	0	0.001417272	0	0.6	0.004240673	7.819767	0	12	0.04120395	0.03797606	-840.5168	380.9858	508.7042	-852.2344	381	481.0992	
0.056	0	1	0	0	1	0.6	0	0.001633299	0	0.6	0.004636378	8.421841	0	12	0.03090296	0.04483946	-840.5178	380.9836	508.7021	-852.2344	381	481.0992	
0.06	0	1	0	0	1	0.6	0	0.001864422	0	0.6	0.004999039	9.021845	0	12	0.02317722	0.05230635	-840.5187	380.9813	508.6997	-852.2344	381	481.0992	
0.064	0	1	0	0	1	0.6	0	0.002110616	0	0.6	0.005415173	9.61934	0	12	0.01738291	0.06037845	-840.5198	380.9789	508.6971	-852.2344	381	481.0992	
0.068	0	1	0	0	1	0.6	0	0.002371853	0	0.6	0.005814805	10.2139	0	12	0.01303719	0.06905703	-840.5211	380.9762	508.6943	-852.2344	381	481.0992	
0.072	0	1	0	0	1	0.6	0	0.002645064	0	0.6	0.006218925	10.80466	0	12	0.00977789	0.07831255	-840.5224	380.9735	508.6912	-852.2344	381	481.0992	
0.07600001	0	1	0	0	1	0.6	0	0.002933262	0	0.6	0.006706794	11.39166	0	12	0.007333417	0.08815335	-840.5238	380.9706	508.6878	-852.2344	381	481.0992	
0.08000001	0	1	0	0	1	0.6	0	0.003236417	0	0.6	0.007215263	11.97453	0	12	0.005500063	0.09858572	-840.5253	380.9675	508.6841	-852.2344	381	481.0992	
0.08400001	0	1	0	0	1	0.6	0	0.003551457	0	0.6	0.007693321	12.55243	0	12	0.004125047	0.1095838	-840.527	380.9644	508.6802	-852.2344	381	481.0992	
0.08800001	0	1	0	0	1	0.6	0	0.003881388	0	0.6	0.006768085	13.12538	0	12	0.003093786	0.1211588	-840.5287	380.961	508.6761	-852.2344	381	481.0992	
0.09200001	0	1	0	0	1	0.6	0	0.004223139	0	0.6	0.006315119	13.69229	0	12	0.002320339	0.1332885	-840.5306	380.9576	508.6716	-852.2344	381	481.0992	
0.096	0	1	0	0	1	0.6	0	0.004579711	0	0.6	0.006357592	14.25318	0	12	0.001740254	0.1459869	-840.5327	380.954	508.6668	-852.2344	381	481.0992	
0.1	0	1	0	0	1	0.6	0	0.004948032	0	0.6	0.006508166	14.80718	0	12	0.001305191	0.1592338	-840.5348	380.9503	508.6617	-852.2344	381	481.0992	
