,"0-100
0: like normal breathing
100: impossible","NASA-TLX (1-20)
1: very low 20: very high",(1-20),(1-20),(1-20),(1-20),(1-20)
trajectory,Difficulty,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
1,5,3,2,8,15,4,2
2,4,2,6,8,17,4,1
3,70,10,10,10,4,10,9
4,70,10,11,14,7,12,8
5,70,11,11,14,10,12,8
6,60,12,11,14,10,12,6
7,5,5,4,2,18,7,1
8,60,14,10,13,10,13,9
9,60,14,10,16,10,13,9
10,60,11,7,11,11,10,8
11,58,8,10,9,15,13,4
12,5,2,3,4,18,5,0
13,40,10,6,10,14,9,3
14,55,12,7,12,14,10,4
15,2,1,2,2,20,1,0
