scored	WPSize	time	distnace	score
1	0.3	2.872	0.07998224	0.02941176

1	0.3	2.544	0.1357042	0.05882353

1	0.3	2.744	0.1339743	0.0882353

1	0.3	2.559999	0.1111369	0.1176471

1	0.3	2.652	0.0920863	0.1470588

0	0.3	2.544	0.3778374	0.1470588

0	0.3	3.940001	0.3071524	0.1470588

1	0.3	2.556	0.09368924	0.1764706

1	0.3	3.856001	0.1981024	0.2058824

1	0.3	2.556	0.2340937	0.2352941

1	0.3	3.875999	0.1697467	0.2647059

1	0.3	2.552002	0.237912	0.2941177

1	0.3	3.815998	0.2178499	0.3235294

0	0.3	2.556	0.4200002	0.3235294

0	0.3	2.748001	0.3417863	0.3235294

1	0.3	2.556	0.1853077	0.3529412

0	0.3	2.648003	0.4918744	0.3529412

1	0.3	2.556	0.2609791	0.3823529

0	0.3	4.219997	0.5320159	0.3823529

1	0.3	2.588001	0.09875538	0.4117647

1	0.3	2.756001	0.2499867	0.4411765

1	0.3	2.556004	0.1461098	0.4705882

0	0.3	2.667999	0.3861119	0.4705882

0	0.3	2.556	0.5603692	0.4705882

1	0.3	3.848	0.2355308	0.5

1	0.3	2.552002	0.09201546	0.5294118

1	0.3	2.643997	0.284206	0.5588236

1	0.3	2.564003	0.2814243	0.5882354

1	0.3	3.927994	0.2089822	0.6176472

0	0.3	2.560005	0.433297	0.6176472

0	0.3	2.759995	0.8320455	0.6176472

0	0.3	2.584007	0.4532964	0.6176472

0	0.3	3.631996	0.4360387	0.6176472

1	0.3	2.552002	0.01818947	0.647059

