scored	WPSize	time	distnace	score
1	0.3	2.864	0.2518109	0.02941176

1	0.3	2.552	0.056401	0.05882353

1	0.3	2.648	0.1844996	0.0882353

1	0.3	2.58	0.04671221	0.1176471

0	0.3	2.736001	0.4169048	0.1176471

1	0.3	2.552	0.07587265	0.1470588

1	0.3	3.780001	0.05685806	0.1764706

1	0.3	2.552	0.2904357	0.2058824

1	0.3	3.751999	0.04495228	0.2352941

0	0.3	2.556	0.308973	0.2352941

0	0.3	2.736	0.5464575	0.2352941

1	0.3	2.559999	0.1406726	0.2647059

1	0.3	2.648003	0.04089068	0.2941177

1	0.3	2.568001	0.2179354	0.3235294

1	0.3	3.775997	0.1756816	0.3529412

1	0.3	2.548	0.1804842	0.3823529

1	0.3	3.700001	0.1359016	0.4117647

0	0.3	2.548	0.4031023	0.4117647

0	0.3	3.764	0.3302124	0.4117647

1	0.3	2.560001	0.2823698	0.4411765

1	0.3	2.815998	0.0897253	0.4705882

1	0.3	2.572002	0.1459567	0.5

1	0.3	3.795998	0.07943948	0.5294118

1	0.3	2.556	0.1244209	0.5588236

1	0.3	2.656006	0.1120326	0.5882354

1	0.3	2.635994	0.03835596	0.6176472

1	0.3	2.740005	0.1179317	0.647059

1	0.3	2.568001	0.1124898	0.6764708

0	0.3	3.647995	0.5869252	0.6764708

1	0.3	2.576004	0.1011301	0.7058825

0	0.3	2.659996	1.237249	0.7058825

0	0.3	2.552002	0.3205203	0.7058825

1	0.3	3.823997	0.2357093	0.7352943

1	0.3	2.576004	0.241974	0.7647061

