scored	WPSize	time	distnace	score
1	6	2.86	1.102618	0.02941176

1	6	2.552	0.1913845	0.05882353

1	6	2.708001	1.24664	0.0882353

1	6	2.568	0.1111213	0.1176471

1	6	2.648	0.9628396	0.1470588

1	6	2.564	1.414247	0.1764706

1	6	3.596	0.3986608	0.2058824

1	6	2.548	0.5417851	0.2352941

1	6	3.700001	0.5428761	0.2647059

1	6	2.548	0.2367701	0.2941177

1	6	3.811998	1.480581	0.3235294

1	6	2.560001	0.9476721	0.3529412

1	6	3.636002	0.5842438	0.3823529

1	6	2.551998	0.6956462	0.4117647

1	6	2.695999	2.032024	0.4411765

1	6	2.564003	1.095759	0.4705882

1	6	2.632	0.3923931	0.5

1	6	2.543999	0.8892852	0.5294118

1	6	3.688	0.5616371	0.5588236

1	6	2.548	0.5760409	0.5882354

1	6	2.740002	0.5130686	0.6176472

1	6	2.559998	0.453483	0.647059

1	6	2.647999	0.2054604	0.6764708

1	6	2.548004	0.9661519	0.7058825

1	6	3.704002	1.226474	0.7352943

1	6	2.551994	0.8516122	0.7647061

1	6	2.632004	0.4442351	0.7941179

1	6	2.559998	1.331668	0.8235297

1	6	3.588005	0.5796417	0.8529415

1	6	2.551994	0.9619137	0.8823533

1	6	2.740005	0.7884318	0.9117651

1	6	2.556	0.8454661	0.9411769

1	6	3.687996	1.06003	0.9705887

1	6	2.552002	0.1985908	1

