scored	WPSize	time	distnace	score
1	6	2.86	0.2862949	0.02380952

1	6	2.592	3.713095	0.04761905

1	6	3.396	1.171927	0.07142857

1	6	2.572	2.30757	0.0952381

1	6	2.6	3.414898	0.1190476

1	6	2.592001	3.967092	0.1428571

1	6	3.444	1.036568	0.1666667

1	6	2.556	3.451509	0.1904762

1	6	2.567999	1.135264	0.2142857

1	6	2.556002	2.123153	0.2380952

1	6	2.612	2.503077	0.2619048

1	2	2.559999	1.056551	0.2857143

1	2	3.636002	0.6148244	0.3095238

1	2	2.559998	1.22432	0.3333333

1	2	3.556004	0.9096985	0.3571429

1	2	2.543999	1.611192	0.3809524

1	2	2.599998	0.8624508	0.4047619

1	2	2.552002	1.188363	0.4285714

1	2	3.576	0.9922292	0.452381

1	2	2.556	0.78514	0.4761905

1	2	2.664001	1.82464	0.5

1	2	2.548	1.633513	0.5238096

1	0.3	2.615997	0.1463394	0.5476191

1	0.3	2.559998	0.1094206	0.5714287

1	0.3	3.800003	0.05888519	0.5952382

0	0.3	2.571999	0.4171645	0.5952382

0	0.3	2.656006	0.5524033	0.5952382

1	0.3	2.599998	0.1494549	0.6190478

1	0.3	3.760002	0.1319536	0.6428573

1	0.3	2.551994	0.21041	0.6666669

1	0.3	2.772003	0.1549289	0.6904764

0	0.3	2.687996	8.904542	0.6904764

0	0.3	3.144005	0.3688502	0.6904764

1	0.3	2.571999	0.1391292	0.714286

1	0.3	3.764	0.1275545	0.7380955

1	0.3	2.568001	0.01157459	0.7619051

1	0.3	3.816002	0.2805779	0.7857146

1	0.3	2.552002	0.1367062	0.8095242

1	0.3	2.651993	0.182884	0.8333337

1	0.3	2.584007	0.2367158	0.8571433

1	0.3	2.736	0.287617	0.8809528

1	0.3	2.591995	0.1013917	0.9047624

