,"0-100
0: like normal breathing
100: impossible","NASA-TLX (0-20)
1: very low 20: very high",(0-20),(0-20),(0-20),(0-20),(0-20)
trajectory,Difficulty,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
1,10,2,2,2,2,2,2
2,95,18,15,19,20,19,20
3,85,16,14,17,18,18,18
4,90,17,15,18,18,18,19
5,80,15,14,17,14,17,17
6,82,16,15,16,13,16,16
7,75,12,10,12,10,10,9
8,5,1,1,2,1,1,1
9,5,1,1,2,1,1,1
10,70,12,10,10,8,9,8
11,75,14,12,12,10,11,10
12,3,1,1,1,1,1,1
13,65,12,10,9,7,9,8
14,85,17,16,15,14,15,14
15,3,1,1,1,1,1,1
