Time	Trigger	autoControlCoef	UserInput	UserInput	UserInput	UserInput	AutoInput	AutoInput	AutoInput	AutoInput	CombinedInput	CombinedInput	CombinedInput	CombinedInput	DiffHumanAuto	DiffHumanAuto	CurrentPos	CurrentPos	CurrentPos	TargetPos	TargetPos	TargetPos	
0	0	1	-0.0994994	-0.0994994	1	0.6	0.07336269	-0.09625348	0	0.6	-15.67115	-14.93486	-8.954946	12	8.875816	0.994994	-840.5125	381	508.7144	-852.2344	381	481.0992	
0.004	1	1	-0.0994994	-0.0994994	1	0.6	0.05913115	-0.0938748	0	0.6	-15.67115	-14.94481	-8.954946	12	15.61181	1.741087	-840.5125	380.9998	508.7143	-852.2344	381	481.0992	
0.008	0	1	-0.0994994	-0.0994994	1	0.6	0.04996677	-0.09211272	0	0.6	-15.66946	-13.77682	-8.954946	12	20.6638	2.300351	-840.5125	380.9995	508.7142	-852.2344	381	481.0992	
0.012	0	1	-0.0994994	-0.0994994	1	0.6	0.04403824	-0.09079337	0	0.6	-15.66936	-13.19722	-8.954946	12	24.4528	2.719342	-840.5126	380.9991	508.7141	-852.2344	381	481.0992	
0.016	0	1	-0.0994994	-0.0994994	1	0.6	0.0398091	-0.08979129	0	0.6	-15.66924	-12.61764	-8.954946	12	27.21541	3.032944	-840.5127	380.9984	508.7138	-852.2344	381	481.0992	
0.02	0	1	-0.0994994	-0.0994994	1	0.6	0.03738494	-0.08902128	0	0.6	-15.66909	-12.03836	-8.954946	12	29.36651	3.267352	-840.5129	380.9977	508.7134	-852.2344	381	481.0992	
0.024	0	1	-0.0994994	-0.0994994	1	0.6	0.03542759	-0.08841956	0	0.6	-15.66891	-11.4597	-8.954946	12	30.97983	3.442212	-840.5131	380.9967	508.7129	-852.2344	381	481.0992	
0.028	0	1	-0.0994994	-0.0994994	1	0.6	0.03402711	-0.08793958	0	0.6	-15.66871	-10.88206	-8.954946	12	32.18982	3.572259	-840.5134	380.9956	508.7122	-852.2344	381	481.0992	
0.032	0	1	-0.0994994	-0.0994994	1	0.6	0.03301322	-0.08754706	0	0.6	-15.66849	-10.30584	-8.954946	12	33.09731	3.668542	-840.5138	380.9944	508.7114	-852.2344	381	481.0992	
0.036	0	1	-0.0994994	-0.0994994	1	0.6	0.03227267	-0.08721675	0	0.6	-15.66824	-9.731506	-8.954946	12	33.77792	3.739351	-840.5142	380.993	508.7103	-852.2344	381	481.0992	
0.04	0	1	-0.0994994	-0.0994994	1	0.6	0.03153088	-0.08692984	0	0.6	-15.66798	-9.159541	-8.954946	12	34.20926	3.790901	-840.5148	380.9914	508.7091	-852.2344	381	481.0992	
0.044	0	1	-0.0994994	-0.0994994	1	0.6	0.03119269	-0.0866724	0	0.6	-15.6677	-8.590459	-8.954946	12	34.53276	3.827855	-840.5154	380.9897	508.7077	-852.2344	381	481.0992	
0.048	0	1	-0.0994994	-0.0994994	1	0.6	0.03113506	-0.08643402	0	0.6	-15.6666	-8.024766	-8.954946	12	34.85452	3.853709	-840.5161	380.9878	508.706	-852.2344	381	481.0992	
0.052	0	1	-0.0994994	-0.0994994	1	0.6	0.03088561	-0.08620694	0	0.6	-15.66395	-7.46298	-8.954946	12	35.09583	3.871085	-840.5168	380.9858	508.7041	-852.2344	381	481.0992	
0.056	0	1	-0.0994994	-0.0994994	1	0.6	0.03069984	-0.08598535	0	0.6	-15.65914	-6.905645	-8.954946	12	35.27682	3.88195	-840.5178	380.9836	508.702	-852.2344	381	481.0992	
