Time	Trigger	autoControlCoef	UserInput	UserInput	UserInput	UserInput	AutoInput	AutoInput	AutoInput	AutoInput	CombinedInput	CombinedInput	CombinedInput	CombinedInput	DiffHumanAuto	DiffHumanAuto	CurrentPos	CurrentPos	CurrentPos	TargetPos	TargetPos	TargetPos	
0	0	1	-0.01260898	-0.06790289	1	0.6	0.01132419	-0.06638322	0	0.6	-1.985915	-10.19222	-1.134809	12	1.055679	0.6790289	-840.5125	381	508.7144	-852.2344	381	481.0992	
0.004	1	1	-0.01260898	-0.06790289	1	0.6	0.0118247	-0.06525149	0	0.6	-1.985915	-10.19901	-1.134809	12	1.926568	1.188148	-840.5125	380.9998	508.7143	-852.2344	381	481.0992	
0.008	0	1	-0.01260898	-0.06790289	1	0.6	0.01157004	-0.06439792	0	0.6	-1.984223	-9.027862	-1.134809	12	2.579735	1.569682	-840.5125	380.9995	508.7142	-852.2344	381	481.0992	
0.012	0	1	-0.01260898	-0.06790289	1	0.6	0.01138264	-0.06374454	0	0.6	-1.984126	-8.445107	-1.134809	12	3.06961	1.855375	-840.5126	380.9991	508.7141	-852.2344	381	481.0992	
0.016	0	1	-0.01260898	-0.06790289	1	0.6	0.01048767	-0.06323241	0	0.6	-1.983999	-7.862365	-1.134809	12	3.357887	2.069004	-840.5127	380.9984	508.7138	-852.2344	381	481.0992	
0.02	0	1	-0.01260898	-0.06790289	1	0.6	0.01116334	-0.06282361	0	0.6	-1.983847	-7.279921	-1.134809	12	3.653224	2.228432	-840.5129	380.9977	508.7134	-852.2344	381	481.0992	
0.024	0	1	-0.01260898	-0.06790289	1	0.6	0.01108122	-0.06248819	0	0.6	-1.983674	-6.698108	-1.134809	12	3.874727	2.347057	-840.5131	380.9967	508.7129	-852.2344	381	481.0992	
0.028	0	1	-0.01260898	-0.06790289	1	0.6	0.01102003	-0.06220413	0	0.6	-1.983476	-6.117304	-1.134809	12	4.040854	2.434927	-840.5134	380.9956	508.7122	-852.2344	381	481.0992	
0.032	0	1	-0.01260898	-0.06790289	1	0.6	0.01097436	-0.06195511	0	0.6	-1.983252	-5.537927	-1.134809	12	4.165449	2.499578	-840.5138	380.9944	508.7114	-852.2344	381	481.0992	
0.036	0	1	-0.01260898	-0.06790289	1	0.6	0.01094023	-0.06172899	0	0.6	-1.983001	-4.960433	-1.134809	12	4.258895	2.546663	-840.5142	380.993	508.7103	-852.2344	381	481.0992	
0.04	0	1	-0.01260898	-0.06790289	1	0.6	0.01018044	-0.06151675	0	0.6	-1.982743	-4.385308	-1.134809	12	4.249851	2.58042	-840.5148	380.9914	508.7091	-852.2344	381	481.0992	
0.044	0	1	-0.01260898	-0.06790289	1	0.6	0.01018274	-0.06131167	0	0.6	-1.982455	-3.813067	-1.134809	12	4.243068	2.604029	-840.5154	380.9897	508.7077	-852.2344	381	481.0992	
0.048	0	1	-0.01260898	-0.06790289	1	0.6	0.01091902	-0.06110872	0	0.6	-1.981001	-3.244197	-1.134809	12	4.31711	2.619874	-840.5161	380.9878	508.706	-852.2344	381	481.0992	
0.052	0	1	-0.01260898	-0.06790289	1	0.6	0.01016564	-0.0609041	0	0.6	-1.978533	-2.679199	-1.134809	12	4.293511	2.629744	-840.5168	380.9858	508.7041	-852.2344	381	481.0992	
0.056	0	1	-0.01260898	-0.06790289	1	0.6	0.01090526	-0.06069501	0	0.6	-1.975579	-2.118555	-1.134809	12	4.354942	2.634979	-840.5178	380.9836	508.702	-852.2344	381	481.0992	
0.06	0	1	-0.01260898	-0.06790289	1	0.6	0.01088852	-0.06047934	0	0.6	-1.972137	-1.562773	-1.134809	12	4.401015	2.636587	-840.5187	380.9813	508.6997	-852.2344	381	481.0992	
0.064	0	1	-0.01260898	-0.06790289	1	0.6	0.01160371	-0.06025549	0	0.6	-1.968201	-1.012355	-1.134809	12	4.514699	2.63532	-840.5198	380.9789	508.6971	-852.2344	381	481.0992	
0.068	0	1	-0.01260898	-0.06790289	1	0.6	0.01157078	-0.060025	0	0.6	-1.963625	-0.4678025	-1.134809	12	4.599962	2.631776	-840.5211	380.9763	508.6942	-852.2344	381	481.0992	
0.072	0	1	-0.01260898	-0.06790289	1	0.6	0.01082203	-0.05978417	0	0.6	-1.958398	0.07039756	-1.134809	12	4.58478	2.626372	-840.5224	380.9735	508.6911	-852.2344	381	481.0992	
0.07600001	0	1	-0.01260898	-0.06790289	1	0.6	0.01155052	-0.05953236	0	0.6	-1.95244	0.6017714	-1.134809	12	4.652522	2.619419	-840.5239	380.9706	508.6877	-852.2344	381	481.0992	
0.08000001	0	1	-0.01260898	-0.06790289	1	0.6	0.01080782	-0.05927176	0	0.6	-1.945829	1.125862	-1.134809	12	4.6242	2.611184	-840.5254	380.9676	508.6841	-852.2344	381	481.0992	
0.08400001	0	1	-0.01260898	-0.06790289	1	0.6	0.01081547	-0.05899922	0	0.6	-1.938462	1.642227	-1.134809	12	4.602959	2.601833	-840.527	380.9644	508.6801	-852.2344	381	481.0992	
0.08800001	0	1	-0.01260898	-0.06790289	1	0.6	0.01082122	-0.05871718	0	0.6	-1.930409	2.150453	-1.134809	12	4.587028	2.591524	-840.5288	380.9611	508.6759	-852.2344	381	481.0992	
0.09200001	0	1	-0.01260898	-0.06790289	1	0.6	0.01154987	-0.05842264	0	0.6	-1.921398	2.650142	-1.134809	12	4.654208	2.580344	-840.5307	380.9577	508.6714	-852.2344	381	481.0992	
0.096	0	1	-0.01260898	-0.06790289	1	0.6	0.01080736	-0.05811817	0	0.6	-1.911769	3.140912	-1.134809	12	4.625465	2.568388	-840.5327	380.9541	508.6666	-852.2344	381	481.0992	
0.1	0	1	-0.01260898	-0.06790289	1	0.6	0.01081513	-0.05780359	0	0.6	-1.900967	3.622422	-1.134809	12	4.603908	2.555729	-840.5349	380.9504	508.6616	-852.2344	381	481.0992	
0.104	0	1	-0.01260898	-0.06790289	1	0.6	0.01082096	-0.05747877	0	0.6	-1.889618	4.094351	-1.134809	12	4.587739	2.54242	-840.5371	380.9466	508.6562	-852.2344	381	481.0992	
0.108	0	1	-0.01260898	-0.06790289	1	0.6	0.01082534	-0.05714359	0	0.6	-1.877257	4.556406	-1.134809	12	4.575613	2.528501	-840.5395	380.9427	508.6505	-852.2344	381	481.0992	
0.112	0	1	-0.01260898	-0.06790289	1	0.6	0.01082862	-0.05679795	0	0.6	-1.864134	5.008321	-1.134809	12	4.566518	2.514004	-840.542	380.9386	508.6446	-852.2344	381	481.0992	
0.116	0	1	-0.01260898	-0.06790289	1	0.6	0.01083108	-0.05644178	0	0.6	-1.85022	5.449872	-1.134809	12	4.559697	2.498949	-840.5447	380.9344	508.6383	-852.2344	381	481.0992	
0.12	0	1	-0.01260898	-0.06790289	1	0.6	0.01083293	-0.05607502	0	0.6	-1.835389	5.880892	-1.134809	12	4.554582	2.483356	-840.5475	380.9301	508.6318	-852.2344	381	481.0992	
0.124	0	1	-0.01260898	-0.06790289	1	0.6	0.01083431	-0.05570034	0	0.6	-1.819866	6.301177	-1.134809	12	4.550745	2.467266	-840.5504	380.9257	508.6249	-852.2344	381	481.0992	
0.128	0	1	-0.01260898	-0.06790289	1	0.6	0.01083535	-0.05531491	0	0.6	-1.803448	6.710625	-1.134809	12	4.547867	2.450682	-840.5535	380.9212	508.6177	-852.2344	381	481.0992	
