scored	WPSize	time	distnace	score
1	6	2.868	0.510235	0.02941176

1	6	2.552	0.8476948	0.05882353

1	6	2.588	2.268759	0.0882353

1	6	2.572001	3.968821	0.1176471

1	6	2.648	0.8905228	0.1470588

0	6	2.712	7.304835	0.1470588

0	6	3.236	7.221266	0.1470588

1	6	2.792	3.167621	0.1764706

1	6	3.508001	4.026056	0.2058824

1	6	2.543999	3.403964	0.2352941

1	6	2.608002	1.561546	0.2647059

1	6	2.568001	0.798551	0.2941177

1	6	2.563999	4.732724	0.3235294

1	6	2.672001	5.495799	0.3529412

1	6	3.312	2.811062	0.3823529

1	6	2.619999	5.65833	0.4117647

1	6	3.327999	4.500038	0.4411765

1	6	2.563999	4.874992	0.4705882

1	6	3.372002	2.590316	0.5

1	6	2.556	3.465587	0.5294118

1	6	2.612	1.373966	0.5588236

1	6	2.672001	5.313871	0.5882354

1	6	3.32	3.768975	0.6176472

1	6	2.556	2.270774	0.647059

1	6	2.608002	4.174312	0.6764708

1	6	2.564003	1.84227	0.7058825

1	6	2.683998	0.5912672	0.7352943

0	6	2.667999	6.132512	0.7352943

1	6	3.300003	5.3496	0.7647061

1	6	2.563995	2.507554	0.7941179

1	6	2.592003	3.951717	0.8235297

0	6	2.704002	6.50934	0.8235297

1	6	3.236	2.9928	0.8529415

1	6	2.551994	2.051587	0.8823533

