Time	Trigger	autoControlCoef	UserInput	UserInput	UserInput	UserInput	AutoInput	AutoInput	AutoInput	AutoInput	CombinedInput	CombinedInput	CombinedInput	CombinedInput	DiffHumanAuto	DiffHumanAuto	CurrentPos	CurrentPos	CurrentPos	TargetPos	TargetPos	TargetPos	
0	0	1	-0.01260898	-0.05210463	1	0.6	0.01132419	-0.05120748	0	0.6	-0.2023557	-15.50715	-0.1156318	12	1.055679	0.5210463	-840.5125	381	508.7144	-852.2344	381	481.0992	
0.004	1	1	-0.01260898	-0.06790289	1	0.6	0.0118247	-0.06550971	0	0.6	-0.1235246	-20.03556	-0.07058549	12	1.926568	1.069661	-840.5125	380.9998	508.7143	-852.2344	381	481.0992	
0.008	0	1	-0.01260898	-0.06790289	1	0.6	0.01157004	-0.06458897	0	0.6	-0.1619425	-18.73276	-0.0935055	12	2.579735	1.480817	-840.5125	380.9995	508.7142	-852.2344	381	481.0992	
0.012	0	1	-0.01260898	-0.06790289	1	0.6	0.01138264	-0.06388631	0	0.6	-0.1913603	-18.05099	-0.1103711	12	3.06961	1.788726	-840.5126	380.9991	508.7141	-852.2344	381	481.0992	
0.016	0	1	-0.01260898	-0.06790289	1	0.6	0.01048767	-0.06333786	0	0.6	-0.3321907	-17.39232	-0.190918	12	3.357887	2.019017	-840.5127	380.9984	508.7138	-852.2344	381	481.0992	
0.02	0	1	-0.01260898	-0.06790289	1	0.6	0.01116334	-0.06290216	0	0.6	-0.2256204	-16.75081	-0.1301078	12	3.653224	2.190942	-840.5129	380.9977	508.7134	-852.2344	381	481.0992	
0.024	0	1	-0.01260898	-0.06790289	1	0.6	0.01108122	-0.06254679	0	0.6	-0.2383814	-16.12194	-0.1374985	12	3.874727	2.318939	-840.5131	380.9967	508.7129	-852.2344	381	481.0992	
0.028	0	1	-0.01260898	-0.06790289	1	0.6	0.01102003	-0.06224788	0	0.6	-0.247821	-15.50253	-0.143006	12	4.040854	2.413839	-840.5134	380.9956	508.7122	-852.2344	381	481.0992	
0.032	0	1	-0.01260898	-0.06790289	1	0.6	0.01097436	-0.06198778	0	0.6	-0.2547905	-14.89034	-0.1471165	12	4.165449	2.483762	-840.5138	380.9944	508.7114	-852.2344	381	481.0992	
0.036	0	1	-0.01260898	-0.06790289	1	0.6	0.01094023	-0.0617534	0	0.6	-0.2599151	-14.28386	-0.1501883	12	4.258895	2.534801	-840.5142	380.993	508.7103	-852.2344	381	481.0992	
0.04	0	1	-0.01260898	-0.06790289	1	0.6	0.01018044	-0.06153501	0	0.6	-0.3793229	-13.68213	-0.2185688	12	4.249851	2.571524	-840.5148	380.9914	508.7091	-852.2344	381	481.0992	
0.044	0	1	-0.01260898	-0.06790289	1	0.6	0.01018274	-0.06132531	0	0.6	-0.3786728	-13.08457	-0.2183617	12	4.243068	2.597357	-840.5154	380.9897	508.7077	-852.2344	381	481.0992	
0.048	0	1	-0.01260898	-0.06790289	1	0.6	0.01091902	-0.06111891	0	0.6	-0.2624063	-12.4909	-0.1520971	12	4.31711	2.61487	-840.5161	380.9878	508.706	-852.2344	381	481.0992	
0.052	0	1	-0.01260898	-0.06790289	1	0.6	0.01089882	-0.06091172	0	0.6	-0.2653124	-11.90108	-0.1539144	12	4.372641	2.625991	-840.5168	380.9858	508.7041	-852.2344	381	481.0992	
0.056	0	1	-0.01260898	-0.06790289	1	0.6	0.0108837	-0.06070071	0	0.6	-0.2673734	-11.31524	-0.1552752	12	4.414289	2.632164	-840.5178	380.9836	508.702	-852.2344	381	481.0992	
0.06	0	1	-0.01260898	-0.06790289	1	0.6	0.01087238	-0.0604836	0	0.6	-0.2688496	-10.73362	-0.1562946	12	4.445525	2.634475	-840.5187	380.9813	508.6997	-852.2344	381	481.0992	
0.064	0	1	-0.01260898	-0.06790289	1	0.6	0.01013305	-0.06025868	0	0.6	-0.3849759	-10.15659	-0.2228338	12	4.389823	2.633737	-840.5198	380.9789	508.6971	-852.2344	381	481.0992	
0.068	0	1	-0.01260898	-0.06790289	1	0.6	0.01087903	-0.06002737	0	0.6	-0.2671609	-9.584971	-0.155696	12	4.427176	2.630589	-840.5211	380.9763	508.6942	-852.2344	381	481.0992	
0.072	0	1	-0.01260898	-0.06790289	1	0.6	0.01086888	-0.05978595	0	0.6	-0.2684108	-9.018841	-0.1566098	12	4.455191	2.625481	-840.5224	380.9735	508.6911	-852.2344	381	481.0992	
0.07600001	0	1	-0.01260898	-0.06790289	1	0.6	0.01013061	-0.05953368	0	0.6	-0.384312	-8.458717	-0.2230542	12	4.397073	2.618751	-840.5239	380.9706	508.6877	-852.2344	381	481.0992	
0.08000001	0	1	-0.01260898	-0.06790289	1	0.6	0.01087706	-0.05927275	0	0.6	-0.2663885	-7.905572	-0.1558734	12	4.432613	2.610683	-840.5254	380.9676	508.6841	-852.2344	381	481.0992	
0.08400001	0	1	-0.01260898	-0.06790289	1	0.6	0.0108674	-0.05899996	0	0.6	-0.2675125	-7.359292	-0.1567428	12	4.459269	2.601457	-840.527	380.9644	508.6801	-852.2344	381	481.0992	
0.08800001	0	1	-0.01260898	-0.06790289	1	0.6	0.01086016	-0.05871774	0	0.6	-0.2682366	-6.820813	-0.1573943	12	4.47926	2.591243	-840.5288	380.9611	508.6759	-852.2344	381	481.0992	
0.09200001	0	1	-0.01260898	-0.06790289	1	0.6	0.01085473	-0.0584258	0	0.6	-0.2686976	-6.290642	-0.1578827	12	4.494254	2.580163	-840.5307	380.9577	508.6714	-852.2344	381	481.0992	
0.096	0	1	-0.01260898	-0.06790289	1	0.6	0.01085066	-0.05812117	0	0.6	-0.26906	-5.768478	-0.1582488	12	4.505499	2.568284	-840.5327	380.9541	508.6666	-852.2344	381	481.0992	
0.1	0	1	-0.01260898	-0.06790289	1	0.6	0.01084762	-0.05780649	0	0.6	-0.2691707	-5.255138	-0.1585233	12	4.513933	2.555681	-840.5349	380.9504	508.6616	-852.2344	381	481.0992	
0.104	0	1	-0.01260898	-0.06790289	1	0.6	0.01084533	-0.05748159	0	0.6	-0.2692521	-4.750985	-0.1587291	12	4.520258	2.542414	-840.5371	380.9466	508.6562	-852.2344	381	481.0992	
0.108	0	1	-0.01260898	-0.06790289	1	0.6	0.01084361	-0.05714635	0	0.6	-0.2691885	-4.256367	-0.1588835	12	4.525002	2.528528	-840.5395	380.9427	508.6505	-852.2344	381	481.0992	
0.112	0	1	-0.01260898	-0.06790289	1	0.6	0.01084233	-0.05680342	0	0.6	-0.2691909	-3.772011	-0.1589992	12	4.52856	2.514084	-840.5421	380.9387	508.6445	-852.2344	381	481.0992	
0.116	0	1	-0.01260898	-0.06790289	1	0.6	0.01084136	-0.05644993	0	0.6	-0.2691934	-3.297746	-0.159086	12	4.531229	2.499101	-840.5447	380.9345	508.6382	-852.2344	381	481.0992	
0.12	0	1	-0.01260898	-0.06790289	1	0.6	0.01084064	-0.05608582	0	0.6	-0.2690932	-2.833839	-0.1591511	12	4.53323	2.483592	-840.5475	380.9302	508.6317	-852.2344	381	481.0992	
0.124	0	1	-0.01260898	-0.06790289	1	0.6	0.0108401	-0.05571379	0	0.6	-0.269167	-2.380951	-0.1591999	12	4.534731	2.467596	-840.5505	380.9259	508.6248	-852.2344	381	481.0992	
0.128	0	1	-0.01260898	-0.06790289	1	0.6	0.01083969	-0.05532824	0	0.6	-0.268961	-1.938455	-0.1592366	12	4.535857	2.451082	-840.5535	380.9214	508.6176	-852.2344	381	481.0992	
0.132	0	1	-0.01260898	-0.06790289	1	0.6	0.01083938	-0.05493744	0	0.6	-0.2688016	-1.507663	-0.159264	12	4.536702	2.434119	-840.5567	380.9168	508.61	-852.2344	381	481.0992	
0.136	0	1	-0.01260898	-0.06790289	1	0.6	0.01083916	-0.05453852	0	0.6	-0.2689298	-1.088356	-0.1592846	12	4.537335	2.416727	-840.56	380.9121	508.6022	-852.2344	381	481.0992	
0.14	0	1	-0.01260898	-0.06790289	1	0.6	0.01083898	-0.05413141	0	0.6	-0.2687966	-0.6805902	-0.1593	12	4.53781	2.398923	-840.5635	380.9073	508.5941	-852.2344	381	481.0992	
0.144	0	1	-0.01260898	-0.06790289	1	0.6	0.01156409	-0.05371606	0	0.6	-0.1547978	-0.2842668	-0.09404016	12	4.617295	2.380717	-840.5671	380.9025	508.5856	-852.2344	381	481.0992	
0.148	0	1	-0.01260898	-0.06790289	1	0.6	0.01081734	-0.05329242	0	0.6	-0.2722718	0.100436	-0.1612481	12	4.59778	2.362119	-840.5708	380.8976	508.5768	-852.2344	381	481.0992	
0.152	0	1	-0.01260898	-0.06790289	1	0.6	0.01154677	-0.05286321	0	0.6	-0.1574987	0.4732617	-0.09559929	12	4.662272	2.343166	-840.5746	380.8925	508.5677	-852.2344	381	481.0992	
0.156	0	1	-0.01260898	-0.06790289	1	0.6	0.01080518	-0.05242283	0	0.6	-0.2744298	0.8350878	-0.1623423	12	4.631513	2.323824	-840.5787	380.8874	508.5582	-852.2344	381	481.0992	
0.16	0	1	-0.01260898	-0.06790289	1	0.6	0.01081349	-0.05197958	0	0.6	-0.2733102	1.184789	-0.1615942	12	4.608443	2.30416	-840.5828	380.8823	508.5485	-852.2344	381	481.0992	
0.164	0	1	-0.01260898	-0.06790289	1	0.6	0.01081973	-0.05152782	0	0.6	-0.2723271	1.523338	-0.1610327	12	4.591141	2.284163	-840.5871	380.877	508.5384	-852.2344	381	481.0992	
0.168	0	1	-0.01260898	-0.06790289	1	0.6	0.01082441	-0.0510703	0	0.6	-0.2718688	1.8505	-0.1606113	12	4.578165	2.263855	-840.5915	380.8717	508.528	-852.2344	381	481.0992	
0.172	0	1	-0.01260898	-0.06790289	1	0.6	0.01082793	-0.05060419	0	0.6	-0.2716052	2.166937	-0.1602952	12	4.568432	2.243223	-840.5961	380.8663	508.5172	-852.2344	381	481.0992	
0.176	0	1	-0.01260898	-0.06790289	1	0.6	0.01083056	-0.05013504	0	0.6	-0.2711899	2.472151	-0.1600581	12	4.561132	2.222316	-840.6008	380.8609	508.5062	-852.2344	381	481.0992	
0.18	0	1	-0.01260898	-0.06790289	1	0.6	0.01155735	-0.04965998	0	0.6	-0.1568505	2.766583	-0.09464681	12	4.634787	2.201143	-840.6056	380.8554	508.4948	-852.2344	381	481.0992	
0.184	0	1	-0.01260898	-0.06790289	1	0.6	0.01081261	-0.04917619	0	0.6	-0.2745378	3.05121	-0.1616738	12	4.610898	2.179679	-840.6106	380.8498	508.4831	-852.2344	381	481.0992	
0.188	0	1	-0.01260898	-0.06790289	1	0.6	0.01081907	-0.04868925	0	0.6	-0.2740627	3.325449	-0.1610924	12	4.592982	2.157965	-840.6157	380.8442	508.471	-852.2344	381	481.0992	
0.192	0	1	-0.01260898	-0.06790289	1	0.6	0.01082392	-0.04819908	0	0.6	-0.2743828	3.589798	-0.1606562	12	4.579545	2.136034	-840.621	380.8385	508.4586	-852.2344	381	481.0992	
0.196	0	1	-0.01260898	-0.06790289	1	0.6	0.01082755	-0.04770004	0	0.6	-0.2747532	3.845281	-0.1603289	12	4.569468	2.113849	-840.6263	380.8328	508.4459	-852.2344	381	481.0992	
0.2	0	1	-0.01260898	-0.06790289	1	0.6	0.01083028	-0.04720054	0	0.6	-0.2742566	4.091252	-0.1600834	12	4.561909	2.091472	-840.6319	380.8271	508.4329	-852.2344	381	481.0992	
0.204	0	1	-0.01260898	-0.06790289	1	0.6	0.01083233	-0.04669488	0	0.6	-0.2746841	4.328847	-0.1598992	12	4.556241	2.068892	-840.6376	380.8213	508.4195	-852.2344	381	481.0992	
0.208	0	1	-0.01260898	-0.06790289	1	0.6	0.01083386	-0.04618307	0	0.6	-0.2759788	4.558688	-0.159761	12	4.551989	2.046097	-840.6434	380.8154	508.4058	-852.2344	381	481.0992	
0.212	0	1	-0.01260898	-0.06790289	1	0.6	0.01083501	-0.0456707	0	0.6	-0.2762782	4.780378	-0.1596574	12	4.5488	2.023141	-840.6494	380.8095	508.3918	-852.2344	381	481.0992	
0.216	0	1	-0.01260898	-0.06790289	1	0.6	0.01083588	-0.04515488	0	0.6	-0.2776425	4.994645	-0.1595796	12	4.546409	2.000035	-840.6555	380.8036	508.3774	-852.2344	381	481.0992	
0.22	0	1	-0.01260898	-0.06790289	1	0.6	0.01156161	-0.04462998	0	0.6	-0.1638497	5.203001	-0.09426391	12	4.623744	1.976723	-840.6617	380.7977	508.3627	-852.2344	381	481.0992	
0.224	0	1	-0.01260898	-0.06790289	1	0.6	0.0108156	-0.04410446	0	0.6	-0.2824435	5.404773	-0.1614051	12	4.602617	1.953259	-840.6681	380.7917	508.3477	-852.2344	381	481.0992	
0.228	0	1	-0.01260898	-0.06790289	1	0.6	0.01082131	-0.04357263	0	0.6	-0.2808727	5.601083	-0.1608908	12	4.586771	1.929617	-840.6746	380.7856	508.3323	-852.2344	381	481.0992	
0.232	0	1	-0.01260898	-0.06790289	1	0.6	0.0108256	-0.04304012	0	0.6	-0.2791763	5.791783	-0.1605049	12	4.574887	1.905844	-840.6813	380.7796	508.3166	-852.2344	381	481.0992	
0.236	0	1	-0.01260898	-0.06790289	1	0.6	0.01082881	-0.04250687	0	0.6	-0.2784306	5.977215	-0.1602154	12	4.565974	1.881971	-840.688	380.7736	508.3006	-852.2344	381	481.0992	
0.24	0	1	-0.01260898	-0.06790289	1	0.6	0.01083123	-0.04196721	0	0.6	-0.2782789	6.159081	-0.1599982	12	4.559289	1.857963	-840.695	380.7675	508.2842	-852.2344	381	481.0992	
0.244	0	1	-0.01260898	-0.06790289	1	0.6	0.01083304	-0.04142679	0	0.6	-0.2797161	6.337022	-0.1598353	12	4.554276	1.833854	-840.7021	380.7614	508.2675	-852.2344	381	481.0992	
0.248	0	1	-0.01260898	-0.06790289	1	0.6	0.01083439	-0.04088274	0	0.6	-0.281709	6.51158	-0.1597131	12	4.550515	1.809638	-840.7093	380.7552	508.2505	-852.2344	381	481.0992	
0.252	0	1	-0.01260898	-0.06790289	1	0.6	0.01083541	-0.04033223	0	0.6	-0.2845245	6.684148	-0.1596214	12	4.547695	1.785281	-840.7166	380.749	508.2332	-852.2344	381	481.0992	
0.256	0	1	-0.01260898	-0.06790289	1	0.6	0.01083618	-0.03978378	0	0.6	-0.2845846	6.847539	-0.1595526	12	4.54558	1.760848	-840.7241	380.7429	508.2156	-852.2344	381	481.0992	
0.26	0	1	-0.01260898	-0.06790289	1	0.6	0.01156185	-0.03923164	0	0.6	-0.1703489	7.003242	-0.09424233	12	4.623122	1.736329	-840.7318	380.7367	508.1976	-852.2344	381	481.0992	
0.264	0	1	-0.01260898	-0.06790289	1	0.6	0.01081576	-0.03867865	0	0.6	-0.2889006	7.150316	-0.1613899	12	4.60215	1.711744	-840.7395	380.7305	508.1793	-852.2344	381	481.0992	
0.268	0	1	-0.01260898	-0.06790289	1	0.6	0.01082144	-0.0381191	0	0.6	-0.2893614	7.290266	-0.1608794	12	4.586421	1.68705	-840.7474	380.7242	508.1607	-852.2344	381	481.0992	
0.272	0	1	-0.01260898	-0.06790289	1	0.6	0.01082569	-0.03756156	0	0.6	-0.2875012	7.422485	-0.1604964	12	4.574625	1.662303	-840.7555	380.718	508.1417	-852.2344	381	481.0992	
0.276	0	1	-0.01260898	-0.06790289	1	0.6	0.01082889	-0.03700026	0	0.6	-0.2878511	7.547349	-0.160209	12	4.565777	1.637487	-840.7637	380.7117	508.1224	-852.2344	381	481.0992	
0.28	0	1	-0.01260898	-0.06790289	1	0.6	0.01083128	-0.03643808	0	0.6	-0.2891596	7.665098	-0.1599935	12	4.559142	1.612619	-840.772	380.7055	508.1028	-852.2344	381	481.0992	
0.284	0	1	-0.01260898	-0.06790289	1	0.6	0.01083308	-0.03587499	0	0.6	-0.2898282	7.775574	-0.1598317	12	4.554165	1.587712	-840.7805	380.6992	508.0829	-852.2344	381	481.0992	
0.288	0	1	-0.01260898	-0.06790289	1	0.6	0.01083443	-0.03531096	0	0.6	-0.2916857	7.879493	-0.1597103	12	4.550432	1.562776	-840.7891	380.693	508.0627	-852.2344	381	481.0992	
0.292	0	1	-0.01260898	-0.06790289	1	0.6	0.01083544	-0.034746	0	0.6	-0.2941781	7.976815	-0.1596194	12	4.547633	1.537817	-840.7978	380.6867	508.0421	-852.2344	381	481.0992	
