scored	WPSize	time	distnace	score
0	0.3	2.864	0.3431758	0

0	0.3	2.552	0.3291906	0

1	0.3	2.636	0.2283985	0.02941176

0	0.3	2.544001	0.5112339	0.02941176

0	0.3	4.068	4.075491	0.02941176

1	0.3	2.576001	0.2764086	0.05882353

1	0.3	3.896	0.1420125	0.0882353

0	0.3	2.623999	0.4137453	0.0882353

0	0.3	2.812	0.7783841	0.0882353

0	0.3	2.572001	0.3256506	0.0882353

1	0.3	3.708	0.268873	0.1176471

1	0.3	2.563999	0.1133897	0.1470588

0	0.3	2.732002	0.4525486	0.1470588

1	0.3	2.591999	0.1054502	0.1764706

1	0.3	3.936001	0.05781659	0.2058824

0	0.3	2.588001	0.6082312	0.2058824

0	0.3	2.639999	0.6052749	0.2058824

0	0.3	2.588001	0.374573	0.2058824

0	0.3	3.739998	0.4730969	0.2058824

1	0.3	2.556	0.09407258	0.2352941

1	0.3	2.66	0.1561841	0.2647059

0	0.3	2.604	0.4915186	0.2647059

0	0.3	2.756004	1.586682	0.2647059

1	0.3	2.571999	0.2723503	0.2941177

0	0.3	3.919998	0.4675024	0.2941177

0	0.3	2.584	0.4582385	0.2941177

0	0.3	4.056	0.7367945	0.2941177

0	0.3	2.672005	8.798538	0.2941177

1	0.3	3.175995	0.2630339	0.3235294

0	0.3	2.639999	0.3589056	0.3235294

1	0.3	2.764	0.1619808	0.3529412

1	0.3	2.596001	0.1812672	0.3823529

0	0.3	2.656006	0.4631848	0.3823529

1	0.3	2.587997	0.1548703	0.4117647

