scored	WPSize	time	distnace	score
1	6	2.86	1.302257	0.02941176

1	6	2.56	0.685921	0.05882353

1	6	2.652	2.513491	0.0882353

1	6	2.56	3.42929	0.1176471

1	6	2.599999	1.369768	0.1470588

1	6	2.58	3.153716	0.1764706

1	6	3.468	3.750394	0.2058824

1	6	2.556	4.739995	0.2352941

1	6	3.5	2.897916	0.2647059

1	6	2.6	4.363731	0.2941177

1	6	3.440001	2.402067	0.3235294

1	6	2.559999	2.38659	0.3529412

1	6	3.596001	1.943024	0.3823529

1	6	2.560001	3.4289	0.4117647

1	6	2.615997	5.732001	0.4411765

1	6	2.568001	4.543943	0.4705882

1	6	2.552002	1.400256	0.5

1	6	2.571999	2.803212	0.5294118

1	6	3.472	0.8678812	0.5588236

1	6	2.556	0.7679616	0.5882354

1	6	2.616001	5.22035	0.6176472

1	6	2.552002	4.401668	0.647059

1	6	2.548	2.712637	0.6764708

1	6	2.563995	2.25174	0.7058825

1	6	3.520004	1.709227	0.7352943

1	6	2.543999	2.458939	0.7647061

1	6	2.599998	1.302808	0.7941179

1	6	2.608002	3.260529	0.8235297

1	6	3.440002	2.425276	0.8529415

1	6	2.559998	2.003159	0.8823533

1	6	2.632004	5.344734	0.9117651

1	6	2.596001	2.5714	0.9411769

1	6	3.547997	1.259042	0.9705887

1	6	2.543999	2.198298	1

