,"0-100
0: like normal breathing
100: impossible","NASA-TLX (0-20)
0: very low 20: very high",(0-20),(0-20),(0-20),(0-20),(0-20)
trajectory,Difficulty,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
1,5,1,2,2,0,1,0
2,5,1,2,2,0,1,0
3,90,16,5,18,18,18,15
4,70,15,5,15,14,15,12
5,85,17,5,17,17,17,16
6,0,1,2,0,0,1,0
7,0,1,2,1,0,1,0
8,60,14,5,15,10,13,14
9,60,13,5,14,8,12,10
10,65,16,5,17,14,15,15
11,60,14,5,15,12,14,14
12,55,12,5,14,8,13,11
13,50,12,5,11,7,12,10
14,0,1,2,1,0,1,0
15,40,10,5,10,6,10,8
