scored	WPSize	time	distnace	score
0	0.3	2.868	0.7969298	0

1	0.3	2.556	0.07921152	0.02941176

1	0.3	2.744	0.07810243	0.05882353

0	0.3	2.584001	0.3051796	0.05882353

0	0.3	2.644	0.7707068	0.05882353

1	0.3	2.584	0.1112676	0.0882353

1	0.3	3.876	0.1615473	0.1176471

0	0.3	2.552	0.453249	0.1176471

0	0.3	3.904001	1.170752	0.1176471

1	0.3	2.591999	0.2485359	0.1470588

1	0.3	3.856001	0.1714569	0.1764706

1	0.3	2.560001	0.2791473	0.2058824

0	0.3	3.803997	0.4826575	0.2058824

1	0.3	2.568001	0.2381602	0.2352941

0	0.3	3.035999	1.324796	0.2352941

0	0.3	3.064003	1.396056	0.2352941

0	0.3	2.823997	0.8554934	0.2352941

0	0.3	2.608002	0.3782926	0.2352941

1	0.3	3.807999	0.2462701	0.2647059

1	0.3	2.580002	0.2295839	0.2941177

0	0.3	2.751999	0.3053329	0.2941177

1	0.3	2.576	0.1299049	0.3235294

0	0.3	2.639999	0.9025288	0.3235294

1	0.3	2.620003	0.2233517	0.3529412

0	0.3	4.115997	1.485644	0.3529412

1	0.3	2.548004	0.1932064	0.3823529

0	0.3	2.643997	0.74005	0.3823529

1	0.3	2.587997	0.1076294	0.4117647

1	0.3	3.916	0.2274361	0.4411765

0	0.3	2.620003	0.5954744	0.4411765

1	0.3	2.807999	0.1246246	0.4705882

1	0.3	2.676003	0.1035611	0.5

0	0.3	4.152	0.3244505	0.5

0	0.3	2.571999	0.3379229	0.5

