Time	Trigger	autoControlCoef	UserInput	UserInput	UserInput	UserInput	AutoInput	AutoInput	AutoInput	AutoInput	CombinedInput	CombinedInput	CombinedInput	CombinedInput	DiffHumanAuto	DiffHumanAuto	CurrentPos	CurrentPos	CurrentPos	TargetPos	TargetPos	TargetPos	
0	0	1	0.006684638	0.006684638	-1	0.6	-0.007394149	0.00666976	0	0.6	1.05283	1.003364	0.6016175	12	0.6807467	0.06684638	-840.5125	381	508.7144	-852.2344	381	481.0992	
0.004	1	1	0.006684638	0.006684638	-1	0.6	-0.006441359	0.006673788	0	0.6	1.05283	1.004033	0.6016175	12	1.112177	0.1171338	-840.5125	380.9998	508.7143	-852.2344	381	481.0992	
0.008	0	1	0.006684638	0.006684638	-1	0.6	-0.006372257	0.006695695	0	0.6	1.054521	2.182643	0.6016175	12	1.435751	0.1551545	-840.5125	380.9995	508.7142	-852.2344	381	481.0992	
0.012	0	1	0.006684638	0.006684638	-1	0.6	-0.006320918	0.006734729	0	0.6	1.054609	2.772861	0.6016175	12	1.67843	0.1841277	-840.5126	380.9991	508.7141	-852.2344	381	481.0992	
0.016	0	1	0.006684638	0.006684638	-1	0.6	-0.007090305	0.006793355	0	0.6	1.054716	3.363072	0.6016175	12	1.939569	0.2064986	-840.5127	380.9984	508.7138	-852.2344	381	481.0992	
0.02	0	1	0.006684638	0.006684638	-1	0.6	-0.006241803	0.006868133	0	0.6	1.05483	3.953006	0.6016175	12	2.056294	0.2240702	-840.5129	380.9977	508.7134	-852.2344	381	481.0992	
0.024	0	1	0.006684638	0.006684638	-1	0.6	-0.006223614	0.006958757	0	0.6	1.054943	4.54235	0.6016175	12	2.143838	0.2381949	-840.5131	380.9967	508.7129	-852.2344	381	481.0992	
0.028	0	1	0.006684638	0.006684638	-1	0.6	-0.006210009	0.007064997	0	0.6	1.055051	5.130755	0.6016175	12	2.209496	0.2498871	-840.5134	380.9956	508.7122	-852.2344	381	481.0992	
0.032	0	1	0.006684638	0.006684638	-1	0.6	-0.006199824	0.00718668	0	0.6	1.055147	5.717843	0.6016175	12	2.25874	0.2599075	-840.5138	380.9944	508.7114	-852.2344	381	481.0992	
0.036	0	1	0.006684638	0.006684638	-1	0.6	-0.006192195	0.007323673	0	0.6	1.055227	6.303214	0.6016175	12	2.295672	0.2688265	-840.5142	380.993	508.7103	-852.2344	381	481.0992	
0.04	0	1	0.006684638	0.006684638	-1	0.6	-0.006186481	0.007475869	0	0.6	1.055257	6.886451	0.6016175	12	2.323372	0.2770723	-840.5148	380.9914	508.7091	-852.2344	381	481.0992	
0.044	0	1	0.006684638	0.006684638	-1	0.6	-0.006182198	0.007643185	0	0.6	1.055266	7.467124	0.6016175	12	2.344146	0.2849655	-840.5154	380.9897	508.7077	-852.2344	381	481.0992	
0.048	0	1	0.006684638	0.006684638	-1	0.6	-0.006178988	0.007825552	0	0.6	1.055207	8.044798	0.6016175	12	2.359727	0.292747	-840.5161	380.9878	508.706	-852.2344	381	481.0992	
0.052	0	1	0.006684638	0.006684638	-1	0.6	-0.006176582	0.008022912	0	0.6	1.055064	8.619031	0.6016175	12	2.371413	0.3005973	-840.5168	380.9858	508.7042	-852.2344	381	481.0992	
0.056	0	1	0.006684638	0.006684638	-1	0.6	-0.006174778	0.008235215	0	0.6	1.054877	9.189384	0.6016175	12	2.380177	0.3086518	-840.5178	380.9836	508.7021	-852.2344	381	481.0992	
0.06	0	1	0.006684638	0.006684638	-1	0.6	-0.006173425	0.008462416	0	0.6	1.054568	9.755422	0.6016175	12	2.38675	0.317012	-840.5187	380.9813	508.6997	-852.2344	381	481.0992	
