scored	WPSize	time	distnace	score
1	6	2.868	2.035052	0.02941176

1	6	2.56	1.215413	0.05882353

1	6	3.604	0.6755084	0.0882353

1	6	2.548	0.4379209	0.1176471

1	6	2.679999	2.19544	0.1470588

1	6	2.552	1.172532	0.1764706

1	6	2.588001	2.542612	0.2058824

1	6	2.567999	2.114805	0.2352941

1	6	3.540001	0.7456475	0.2647059

1	6	2.559999	2.599067	0.2941177

1	6	3.528	1.613834	0.3235294

1	6	2.572002	1.719862	0.3529412

1	6	3.539997	0.6993353	0.3823529

1	6	2.564003	0.5999013	0.4117647

1	6	2.683998	1.768641	0.4411765

1	6	2.552002	2.04608	0.4705882

1	6	2.596001	0.7481711	0.5

1	6	2.548	1.225414	0.5294118

1	6	2.595997	1.630216	0.5588236

1	6	2.552002	0.3974767	0.5882354

1	6	2.700001	1.387959	0.6176472

1	6	2.571999	1.680996	0.647059

1	6	3.551998	0.4809921	0.6764708

1	6	2.560005	2.148338	0.7058825

1	6	3.512001	0.8668851	0.7352943

1	6	2.551994	0.3720382	0.7647061

1	6	2.676003	2.518522	0.7941179

1	6	2.564003	1.03236	0.8235297

1	6	2.607994	2.10415	0.8529415

1	6	2.572006	1.136797	0.8823533

1	6	3.787994	2.344469	0.9117651

1	6	2.580002	1.430408	0.9411769

1	6	3.528	0.481898	0.9705887

1	6	2.548004	0.1688517	1

