scored	WPSize	time	distnace	score
1	0.3	2.864	0.1538346	0.02941176

1	0.3	2.552	0.1942178	0.05882353

0	0.3	4.084	2.808661	0.05882353

0	0.3	2.588	0.4042341	0.05882353

0	0.3	2.812	0.3133203	0.05882353

1	0.3	2.572	0.07068306	0.0882353

0	0.3	2.664001	0.3538345	0.0882353

1	0.3	2.587999	0.1147987	0.1176471

0	0.3	4.132	0.6187461	0.1176471

1	0.3	2.572001	0.1319323	0.1470588

1	0.3	4.108002	0.2991447	0.1764706

1	0.3	2.595997	0.2470528	0.2058824

0	0.3	3.692001	0.452738	0.2058824

1	0.3	2.576	0.254759	0.2352941

0	0.3	2.723999	0.3653799	0.2352941

0	0.3	2.596001	0.720189	0.2352941

1	0.3	2.66	0.1948735	0.2647059

0	0.3	2.584	0.4635287	0.2647059

1	0.3	2.676003	0.2164475	0.2941177

1	0.3	2.551998	0.2222729	0.3235294

0	0.3	2.744003	0.4612986	0.3235294

1	0.3	2.591999	0.05115619	0.3529412

1	0.3	3.904003	0.2215	0.3823529

1	0.3	2.567993	0.1015552	0.4117647

1	0.3	3.916	0.1975522	0.4411765

1	0.3	2.644005	0.1769582	0.4705882

1	0.3	2.764	0.1937297	0.5

0	0.3	2.639999	0.3755179	0.5

0	0.3	2.744003	0.3703362	0.5

1	0.3	2.612	0.1130418	0.5294118

1	0.3	4.275993	0.2912062	0.5588236

1	0.3	2.584007	0.2174099	0.5882354

1	0.3	4.035995	0.2041521	0.6176472

1	0.3	2.599998	0.2750332	0.647059

