scored	WPSize	time	distnace	score
1	6	2.864	0.1494328	0.02380952

1	6	2.548	0.2448028	0.04761905

1	6	2.716	0.2790756	0.07142857

1	6	2.576	1.192256	0.0952381

1	6	3.548	0.3184932	0.1190476

1	6	2.572001	1.931697	0.1428571

1	6	3.511999	0.1501588	0.1666667

1	6	2.544001	1.392664	0.1904762

1	6	2.584	2.070006	0.2142857

1	2	2.548	0.8323774	0.2380952

1	2	3.668001	0.3372175	0.2619048

1	2	2.559999	0.8347259	0.2857143

1	2	3.639999	0.3856893	0.3095238

1	2	2.552002	1.140827	0.3333333

1	2	2.700001	0.9310194	0.3571429

1	2	2.556	0.1810703	0.3809524

1	2	2.635998	1.418824	0.4047619

1	2	2.548	0.2360592	0.4285714

1	0.3	2.723999	0.2269401	0.452381

1	0.3	2.568001	0.03769439	0.4761905

1	0.3	3.788002	0.2658547	0.5

0	0.3	2.563999	0.4145831	0.5

0	0.3	2.644001	0.3120056	0.5

1	0.3	2.575996	0.06403157	0.5238096

0	0.3	3.864006	0.4336973	0.5238096

1	0.3	2.591995	0.1570029	0.5476191

1	0.3	4.136002	0.06197071	0.5714287

1	0.3	2.559998	0.2246961	0.5952382

0	0.3	2.656006	0.3303528	0.5952382

1	0.3	2.559998	0.01082482	0.6190478

0	0.3	3.748001	0.5553647	0.6190478

1	0.3	2.580002	0.2163237	0.6428573

1	0.3	2.823997	0.2271752	0.6666669

1	0.3	2.568001	0.263343	0.6904764

1	0.3	3.816002	0.1037985	0.714286

0	0.3	2.575996	0.3161137	0.714286

0	0.3	0	0	0.714286

0	0.3	0	0	0.714286

0	0.3	0	0	0.714286

0	0.3	0	0	0.714286

0	0.3	0	0	0.714286

0	0.3	0	0	0.714286

