scored	WPSize	time	distnace	score
1	0.3	2.864	0.1843141	0.02941176

1	0.3	2.544	0.2869759	0.05882353

1	0.3	2.748	0.2777842	0.0882353

1	0.3	2.604	0.1878375	0.1176471

0	0.3	2.668	0.4635458	0.1176471

1	0.3	2.56	0.1100396	0.1470588

1	0.3	4.172001	0.2621399	0.1764706

1	0.3	2.608	0.1812259	0.2058824

1	0.3	5.743999	0.1395981	0.2352941

0	0.3	2.792	0.3577985	0.2352941

1	0.3	3.624001	0.2031897	0.2647059

0	0.3	2.560001	0.3927045	0.2647059

1	0.3	4.048	0.2720512	0.2941177

1	0.3	2.571999	0.2828412	0.3235294

0	0.3	2.883999	0.5528005	0.3235294

0	0.3	2.616001	1.797273	0.3235294

0	0.3	2.66	0.8456666	0.3235294

1	0.3	2.604	0.1474739	0.3529412

0	0.3	3.672001	0.3729809	0.3529412

0	0.3	2.552002	0.3368608	0.3529412

0	0.3	2.736	0.357906	0.3529412

0	0.3	2.588001	0.4294106	0.3529412

0	0.3	2.647995	0.3991543	0.3529412

1	0.3	2.560005	0.2998198	0.3823529

1	0.3	4.035995	0.2904936	0.4117647

0	0.3	2.68	7.325219	0.4117647

1	0.3	2.68	0.2445394	0.4411765

1	0.3	2.560005	0.2030928	0.4705882

0	0.3	3.875999	0.4193622	0.4705882

0	0.3	2.655998	3.191813	0.4705882

1	0.3	2.748001	0.1549	0.5

1	0.3	2.568001	0.1308872	0.5294118

1	0.3	3.783997	0.04274984	0.5588236

1	0.3	2.560005	0.03326899	0.5882354

