scored	WPSize	time	distnace	score
0	0.3	2.864	0.9224047	0

1	0.3	2.556	0.06455366	0.02941176

0	0.3	3.764	0.3232663	0.02941176

0	0.3	2.604	0.3234803	0.02941176

0	0.3	2.816001	0.5739062	0.02941176

0	0.3	2.679999	0.8470636	0.02941176

0	0.3	2.664001	0.502229	0.02941176

1	0.3	2.604	0.1262274	0.05882353

0	0.3	3.811998	0.7153609	0.05882353

0	0.3	2.856001	0.3926369	0.05882353

1	0.3	3.812	0.2352824	0.0882353

1	0.3	2.576	0.150634	0.1176471

0	0.3	3.875999	0.4014591	0.1176471

0	0.3	2.855999	1.486898	0.1176471

0	0.3	2.848003	1.080527	0.1176471

0	0.3	2.579998	0.5739141	0.1176471

0	0.3	2.704002	0.3857908	0.1176471

0	0.3	2.567997	0.5856937	0.1176471

0	0.3	2.908001	1.156633	0.1176471

0	0.3	2.880001	0.7410459	0.1176471

0	0.3	2.807999	0.5013281	0.1176471

0	0.3	2.632004	0.5259342	0.1176471

0	0.3	4.131996	0.4460723	0.1176471

0	0.3	2.835999	11.8682	0.1176471

0	0.3	2.984001	0.3942131	0.1176471

0	0.3	2.548004	0.4494394	0.1176471

0	0.3	2.792	0.6473783	0.1176471

0	0.3	2.667999	1.356281	0.1176471

0	0.3	2.652	4.98478	0.1176471

1	0.3	2.587997	0.155782	0.1470588

0	0.3	4.088005	0.3639612	0.1470588

0	0.3	2.723999	0.8375154	0.1470588

1	0.3	3.612	0.09714048	0.1764706

1	0.3	2.556	0.1617832	0.2058824

