scored	WPSize	time	distnace	score
1	6	2.876	2.832573	0.02941176

1	6	2.552	4.715468	0.05882353

1	6	3.392	1.843081	0.0882353

1	6	2.556	2.124415	0.1176471

1	6	2.636001	3.238566	0.1470588

1	6	2.572001	1.07758	0.1764706

1	6	2.591999	2.23797	0.2058824

1	6	2.584	3.175656	0.2352941

1	6	3.424002	0.7050101	0.2647059

1	6	2.552	0.9868292	0.2941177

1	6	3.632	3.2693	0.3235294

1	6	2.58	4.027679	0.3529412

1	6	3.368	2.421411	0.3823529

1	6	2.551998	2.147568	0.4117647

1	6	2.668003	2.291254	0.4411765

1	6	2.568001	0.6014945	0.4705882

1	6	2.584	3.366904	0.5

1	6	2.556	0.8035741	0.5294118

1	6	2.556	4.541415	0.5588236

1	6	2.551998	2.714941	0.5882354

1	6	2.604	3.261048	0.6176472

1	6	2.600002	1.915518	0.647059

1	6	3.548	3.958257	0.6764708

1	6	2.552002	5.508539	0.7058825

1	6	3.444	4.928709	0.7352943

1	6	2.547997	4.194755	0.7647061

1	6	2.599998	2.254487	0.7941179

1	6	2.568001	3.031345	0.8235297

1	6	2.564003	2.14275	0.8529415

1	6	2.608002	4.371926	0.8823533

1	6	3.348	1.845105	0.9117651

1	6	2.571999	1.374539	0.9411769

1	6	3.587997	1.184042	0.9705887

1	6	2.548004	0.5857269	1

