Time	Trigger	autoControlCoef	UserInput	UserInput	UserInput	UserInput	AutoInput	AutoInput	AutoInput	AutoInput	CombinedInput	CombinedInput	CombinedInput	CombinedInput	DiffHumanAuto	DiffHumanAuto	CurrentPos	CurrentPos	CurrentPos	TargetPos	TargetPos	TargetPos	
0	0	1	-0.06790289	0.02248289	1	0.6	0.0548156	0.02231503	0	0.6	-10.6947	3.374682	-6.111259	12	6.03213	0.2248289	-840.5125	381	508.7144	-852.2344	381	481.0992	
0.004	1	1	-0.06790289	0.02248289	1	0.6	0.04763494	0.0222049	0	0.6	-10.6947	3.37693	-6.111259	12	10.63536	0.3936032	-840.5125	380.9998	508.7143	-852.2344	381	481.0992	
0.008	0	1	-0.06790289	0.02248289	1	0.6	0.04245675	0.02214118	0	0.6	-10.693	4.557121	-6.111259	12	14.08778	0.5204891	-840.5125	380.9995	508.7142	-852.2344	381	481.0992	
0.012	0	1	-0.06790289	0.02248289	1	0.6	0.03894597	0.02211556	0	0.6	-10.69287	5.148918	-6.111259	12	16.67709	0.6161113	-840.5126	380.9991	508.7141	-852.2344	381	481.0992	
0.016	0	1	-0.06790289	0.02248289	1	0.6	0.03612725	0.02212492	0	0.6	-10.69265	5.740707	-6.111259	12	18.53995	0.6884688	-840.5127	380.9984	508.7138	-852.2344	381	481.0992	
0.02	0	1	-0.06790289	0.02248289	1	0.6	0.03484365	0.02216175	0	0.6	-10.69232	6.332218	-6.111259	12	20.01622	0.7435304	-840.5129	380.9977	508.7134	-852.2344	381	481.0992	
0.024	0	1	-0.06790289	0.02248289	1	0.6	0.03358113	0.02222273	0	0.6	-10.69187	6.923136	-6.111259	12	21.12343	0.7857726	-840.5131	380.9967	508.7129	-852.2344	381	481.0992	
0.028	0	1	-0.06790289	0.02248289	1	0.6	0.03232656	0.02230536	0	0.6	-10.69127	7.513111	-6.111259	12	21.8747	0.8185529	-840.5134	380.9956	508.7122	-852.2344	381	481.0992	
0.032	0	1	-0.06790289	0.02248289	1	0.6	0.03205657	0.02240781	0	0.6	-10.69047	8.101762	-6.111259	12	22.51728	0.8443894	-840.5138	380.9944	508.7114	-852.2344	381	481.0992	
0.036	0	1	-0.06790289	0.02248289	1	0.6	0.03154571	0.02252869	0	0.6	-10.68944	8.688689	-6.111259	12	22.99922	0.8651705	-840.5142	380.993	508.7103	-852.2344	381	481.0992	
0.04	0	1	-0.06790289	0.02248289	1	0.6	0.0308456	0.02266694	0	0.6	-10.68817	9.273472	-6.111259	12	23.28155	0.8823128	-840.5148	380.9914	508.7091	-852.2344	381	481.0992	
0.044	0	1	-0.06790289	0.02248289	1	0.6	0.03062866	0.02282181	0	0.6	-10.68659	9.855678	-6.111259	12	23.49329	0.8968785	-840.5154	380.9897	508.7077	-852.2344	381	481.0992	
0.048	0	1	-0.06790289	0.02248289	1	0.6	0.03078531	0.02299268	0	0.6	-10.68469	10.43487	-6.111259	12	23.73123	0.9096643	-840.5161	380.9878	508.706	-852.2344	381	481.0992	
0.052	0	1	-0.06790289	0.02248289	1	0.6	0.03028626	0.02317911	0	0.6	-10.68243	11.0106	-6.111259	12	23.83055	0.9212678	-840.5168	380.9858	508.7042	-852.2344	381	481.0992	
0.056	0	1	-0.06790289	0.02248289	1	0.6	0.03052683	0.02338076	0	0.6	-10.67976	11.58244	-6.111259	12	23.98417	0.9321372	-840.5178	380.9836	508.7021	-852.2344	381	481.0992	
0.06	0	1	-0.06790289	0.02248289	1	0.6	0.03040982	0.02359736	0	0.6	-10.6767	12.14993	-6.111259	12	24.09939	0.9426086	-840.5187	380.9813	508.6997	-852.2344	381	481.0992	
0.064	0	1	-0.06790289	0.02248289	1	0.6	0.03032235	0.02382871	0	0.6	-10.67317	12.71266	-6.111259	12	24.1858	0.952934	-840.5198	380.9789	508.6971	-852.2344	381	481.0992	
0.068	0	1	-0.06790289	0.02248289	1	0.6	0.03025692	0.02407463	0	0.6	-10.66919	13.27019	-6.111259	12	24.25061	0.9633026	-840.5211	380.9762	508.6943	-852.2344	381	481.0992	
