Time	Trigger	autoControlCoef	UserInput	UserInput	UserInput	UserInput	AutoInput	AutoInput	AutoInput	AutoInput	CombinedInput	CombinedInput	CombinedInput	CombinedInput	DiffHumanAuto	DiffHumanAuto	CurrentPos	CurrentPos	CurrentPos	TargetPos	TargetPos	TargetPos	
0	0	1	-0.03630637	0	1	0.6	0.03185509	0	0	0.6	-0.7010766	0	-0.4006152	12	3.188444	0	-840.5125	381	508.7144	-852.2344	381	481.0992	
0.004	1	1	-0.03630637	0	1	0.6	0.03006504	1.525871E-05	0	0.6	-0.9830094	0.002290333	-0.5617197	12	5.658906	0.0001525879	-840.5125	380.9998	508.7143	-852.2344	381	481.0992	
0.008	0	1	-0.03630637	0	1	0.6	0.02826435	4.577549E-05	0	0.6	-1.26492	1.184815	-0.7237813	12	7.511753	0.0005722046	-840.5125	380.9995	508.7142	-852.2344	381	481.0992	
0.012	0	1	-0.03630637	0	1	0.6	0.02698498	9.154863E-05	0	0.6	-1.466303	1.781238	-0.8389254	12	8.901388	0.001344681	-840.5126	380.9991	508.7141	-852.2344	381	481.0992	
0.016	0	1	-0.03630637	0	1	0.6	0.02549959	0.0001556263	0	0.6	-1.700074	2.380405	-0.97261	12	9.864485	0.002564907	-840.5127	380.9984	508.7138	-852.2344	381	481.0992	
0.02	0	1	-0.03630637	0	1	0.6	0.02544354	0.0002349519	0	0.6	-1.708655	2.981588	-0.9776545	12	10.66594	0.004273534	-840.5129	380.9977	508.7134	-852.2344	381	481.0992	
0.024	0	1	-0.03630637	0	1	0.6	0.02493882	0.0003295184	0	0.6	-1.787826	3.58447	-1.023079	12	11.26703	0.006501049	-840.5131	380.9967	508.7129	-852.2344	381	481.0992	
0.028	0	1	-0.03630637	0	1	0.6	0.02403525	0.0004393173	0	0.6	-1.929719	4.188701	-1.104401	12	11.63871	0.009270318	-840.5134	380.9956	508.7122	-852.2344	381	481.0992	
0.032	0	1	-0.03630637	0	1	0.6	0.02433964	0.0005643382	0	0.6	-1.88124	4.7939	-1.077006	12	11.99661	0.01259849	-840.5138	380.9944	508.7114	-852.2344	381	481.0992	
0.036	0	1	-0.03630637	0	1	0.6	0.02412283	0.0007045685	0	0.6	-1.914719	5.399665	-1.096518	12	12.26503	0.01649843	-840.5142	380.993	508.7103	-852.2344	381	481.0992	
0.04	0	1	-0.03630637	0	1	0.6	0.0239615	0.0008599941	0	0.6	-1.939327	6.005571	-1.111038	12	12.46635	0.02097978	-840.5148	380.9914	508.7091	-852.2344	381	481.0992	
0.044	0	1	-0.03630637	0	1	0.6	0.02384121	0.001030599	0	0.6	-1.957293	6.611186	-1.121865	12	12.61733	0.02604977	-840.5154	380.9897	508.7077	-852.2344	381	481.0992	
0.048	0	1	-0.03630637	0	1	0.6	0.02375138	0.001216365	0	0.6	-1.970261	7.216067	-1.129949	12	12.73057	0.03171384	-840.5161	380.9878	508.706	-852.2344	381	481.0992	
0.052	0	1	-0.03630637	0	1	0.6	0.02368424	0.001417272	0	0.6	-1.979495	7.819768	-1.135992	12	12.8155	0.03797606	-840.5168	380.9858	508.7042	-852.2344	381	481.0992	
0.056	0	1	-0.03630637	0	1	0.6	0.02363401	0.001633299	0	0.6	-1.98582	8.421843	-1.140513	12	12.8792	0.04483946	-840.5178	380.9836	508.7021	-852.2344	381	481.0992	
0.06	0	1	-0.03630637	0	1	0.6	0.0235964	0.001864422	0	0.6	-1.989959	9.021846	-1.143898	12	12.92697	0.05230635	-840.5187	380.9813	508.6997	-852.2344	381	481.0992	
0.064	0	1	-0.03630637	0	1	0.6	0.02356823	0.002110616	0	0.6	-1.992319	9.619342	-1.146432	12	12.9628	0.06037845	-840.5198	380.9789	508.6971	-852.2344	381	481.0992	
0.068	0	1	-0.03630637	0	1	0.6	0.02354713	0.002371853	0	0.6	-1.993327	10.2139	-1.148331	12	12.98968	0.06905703	-840.5211	380.9762	508.6943	-852.2344	381	481.0992	
0.072	0	1	-0.03630637	0	1	0.6	0.02353132	0.002645064	0	0.6	-1.993169	10.80466	-1.149755	12	13.00983	0.07831255	-840.5224	380.9735	508.6912	-852.2344	381	481.0992	
0.07600001	0	1	-0.03630637	0	1	0.6	0.02351947	0.002933262	0	0.6	-1.992106	11.39166	-1.150821	12	13.02495	0.08815335	-840.5238	380.9706	508.6878	-852.2344	381	481.0992	
0.08000001	0	1	-0.03630637	0	1	0.6	0.02351058	0.003236417	0	0.6	-1.990213	11.97452	-1.151621	12	13.03628	0.09858572	-840.5253	380.9675	508.6841	-852.2344	381	481.0992	
0.08400001	0	1	-0.03630637	0	1	0.6	0.02350391	0.003551457	0	0.6	-1.987745	12.55243	-1.152221	12	13.04479	0.1095838	-840.527	380.9644	508.6802	-852.2344	381	481.0992	
0.08800001	0	1	-0.03630637	0	1	0.6	0.02349892	0.003881388	0	0.6	-1.987039	13.12531	-1.152671	12	13.05116	0.1211588	-840.5287	380.961	508.6761	-852.2344	381	481.0992	
0.09200001	0	1	-0.03630637	0	1	0.6	0.02349517	0.004223139	0	0.6	-1.986777	13.69219	-1.153008	12	13.05595	0.1332885	-840.5306	380.9576	508.6716	-852.2344	381	481.0992	
0.096	0	1	-0.03630637	0	1	0.6	0.02349237	0.004579711	0	0.6	-1.986775	14.25306	-1.15326	12	13.05953	0.1459869	-840.5327	380.954	508.6668	-852.2344	381	481.0992	
0.1	0	1	-0.03630637	0	1	0.6	0.02349026	0.004948032	0	0.6	-1.986979	14.80705	-1.15345	12	13.06222	0.1592338	-840.5348	380.9503	508.6617	-852.2344	381	481.0992	
0.104	0	1	-0.03630637	0	1	0.6	0.02348868	0.00532807	0	0.6	-1.987091	15.35376	-1.153592	12	13.06424	0.1730143	-840.537	380.9464	508.6564	-852.2344	381	481.0992	
0.108	0	1	-0.03630637	0	1	0.6	0.02348749	0.005719789	0	0.6	-1.987446	15.89281	-1.153699	12	13.06575	0.1873168	-840.5394	380.9424	508.6508	-852.2344	381	481.0992	
0.112	0	1	-0.03630637	0	1	0.6	0.0234866	0.006123155	0	0.6	-1.987525	16.42384	-1.153779	12	13.06689	0.2021331	-840.5419	380.9384	508.6448	-852.2344	381	481.0992	
0.116	0	1	-0.03630637	0	1	0.6	0.02399132	0.006538129	0	0.6	-1.908127	16.9465	-1.108355	12	13.14687	0.2174568	-840.5446	380.9341	508.6386	-852.2344	381	481.0992	
0.12	0	1	-0.03630637	0	1	0.6	0.02343903	0.006964674	0	0.6	-1.995174	17.46046	-1.158061	12	13.12772	0.233283	-840.5474	380.9298	508.632	-852.2344	381	481.0992	
0.124	0	1	-0.03630637	0	1	0.6	0.02345025	0.007402749	0	0.6	-1.993434	17.96544	-1.157051	12	13.11337	0.2496082	-840.5503	380.9254	508.6252	-852.2344	381	481.0992	
0.128	0	1	-0.03630637	0	1	0.6	0.02345866	0.007849299	0	0.6	-1.992197	18.46069	-1.156294	12	13.1026	0.2663993	-840.5533	380.9208	508.618	-852.2344	381	481.0992	
0.132	0	1	-0.03630637	0	1	0.6	0.02346498	0.008307309	0	0.6	-1.991282	18.94639	-1.155725	12	13.09452	0.2836618	-840.5565	380.9161	508.6106	-852.2344	381	481.0992	
0.136	0	1	-0.03630637	0	1	0.6	0.02346972	0.008773724	0	0.6	-1.990796	19.42185	-1.155298	12	13.08846	0.3013694	-840.5598	380.9114	508.6028	-852.2344	381	481.0992	
0.14	0	1	-0.03630637	0	1	0.6	0.02347327	0.009251521	0	0.6	-1.990375	19.88737	-1.154979	12	13.08392	0.3195329	-840.5632	380.9065	508.5947	-852.2344	381	481.0992	
0.144	0	1	-0.03630637	0	1	0.6	0.02347594	0.009737649	0	0.6	-1.990163	20.34221	-1.154739	12	13.08051	0.3381299	-840.5668	380.9015	508.5863	-852.2344	381	481.0992	
0.148	0	1	-0.03630637	0	1	0.6	0.02347794	0.01023208	0	0.6	-1.990042	20.7862	-1.154559	12	13.07796	0.3571436	-840.5705	380.8965	508.5776	-852.2344	381	481.0992	
0.152	0	1	-0.03630637	0	1	0.6	0.02347944	0.01073477	0	0.6	-1.990433	21.21917	-1.154424	12	13.07604	0.3765613	-840.5743	380.8913	508.5685	-852.2344	381	481.0992	
0.156	0	1	-0.03630637	0	1	0.6	0.02348056	0.01124569	0	0.6	-1.990422	21.64111	-1.154323	12	13.0746	0.3963736	-840.5783	380.886	508.5592	-852.2344	381	481.0992	
0.16	0	1	-0.03630637	0	1	0.6	0.02348141	0.01176482	0	0.6	-1.991125	22.05179	-1.154247	12	13.07353	0.4165734	-840.5824	380.8807	508.5495	-852.2344	381	481.0992	
0.164	0	1	-0.03630637	0	1	0.6	0.02348204	0.01228911	0	0.6	-1.991641	22.45063	-1.15419	12	13.07272	0.4371249	-840.5867	380.8753	508.5395	-852.2344	381	481.0992	
0.168	0	1	-0.03630637	0	1	0.6	0.02348252	0.01282154	0	0.6	-1.992035	22.83808	-1.154147	12	13.07211	0.4580317	-840.5911	380.8698	508.5292	-852.2344	381	481.0992	
0.172	0	1	-0.03630637	0	1	0.6	0.02348287	0.01335909	0	0.6	-1.992696	23.2136	-1.154115	12	13.07166	0.4792659	-840.5956	380.8643	508.5185	-852.2344	381	481.0992	
0.176	0	1	-0.03630637	0	1	0.6	0.02348314	0.0139077	0	0.6	-1.992854	23.57817	-1.154091	12	13.07132	0.5008679	-840.6002	380.8586	508.5075	-852.2344	381	481.0992	
0.18	0	1	-0.03630637	0	1	0.6	0.02348334	0.01445837	0	0.6	-1.993303	23.93032	-1.154073	12	13.07106	0.5227762	-840.605	380.8529	508.4962	-852.2344	381	481.0992	
