scored	WPSize	time	distnace	score
0	0.3	2.864	0.3723977	0

1	0.3	2.548	0.14183	0.02941176

1	0.3	2.648	0.2131463	0.05882353

0	0.3	2.572001	0.4130027	0.05882353

0	0.3	2.728	0.460866	0.05882353

1	0.3	2.56	0.06895403	0.0882353

0	0.3	3.94	0.324204	0.0882353

0	0.3	2.816	9.690027	0.0882353

0	0.3	3.128	0.3771212	0.0882353

0	0.3	2.648001	2.015893	0.0882353

0	0.3	2.792	1.220633	0.0882353

0	0.3	2.6	0.5993224	0.0882353

0	0.3	2.667999	0.3617862	0.0882353

0	0.3	2.596001	0.7195818	0.0882353

1	0.3	3.667999	0.2383583	0.1176471

0	0.3	2.560001	0.7287256	0.1176471

1	0.3	4.383999	0.2625811	0.1470588

1	0.3	2.592003	0.2942439	0.1764706

0	0.3	3.667999	0.5450536	0.1764706

0	0.3	2.591999	0.5155728	0.1764706

0	0.3	2.743999	2.375081	0.1764706

1	0.3	2.572002	0.1819126	0.2058824

1	0.3	3.899998	0.1372901	0.2352941

1	0.3	2.556	0.1107182	0.2647059

0	0.3	2.652	0.3887004	0.2647059

0	0.3	2.576004	0.6839001	0.2647059

0	0.3	2.727997	1.11686	0.2647059

1	0.3	2.564003	0.1533929	0.2941177

0	0.3	3.956001	0.5508184	0.2941177

1	0.3	2.556	0.1774858	0.3235294

1	0.3	2.652	0.08349977	0.3529412

1	0.3	2.559998	0.01746885	0.3823529

0	0.3	3.968002	0.6471173	0.3823529

0	0.3	2.579994	0.4220304	0.3823529

