scored	WPSize	time	distnace	score
1	6	2.86	0.2934218	0.02941176

1	6	2.548	0.2380422	0.05882353

1	6	2.668	2.227565	0.0882353

1	6	2.568	1.742557	0.1176471

1	6	2.584001	3.448943	0.1470588

1	6	2.56	1.659699	0.1764706

1	6	3.596	1.269087	0.2058824

1	6	2.584	3.044609	0.2352941

1	6	3.452002	1.256583	0.2647059

1	6	2.576	2.575371	0.2941177

1	6	3.476	2.271117	0.3235294

1	6	2.555998	2.808302	0.3529412

1	6	3.496002	0.9339042	0.3823529

1	6	2.551998	1.708575	0.4117647

1	6	2.620003	3.191303	0.4411765

1	6	2.568001	1.085384	0.4705882

1	6	2.576	3.354357	0.5

1	6	2.576	3.895309	0.5294118

1	6	3.419998	3.684244	0.5588236

1	6	2.552002	3.331802	0.5882354

1	6	2.619999	3.749154	0.6176472

1	6	2.571999	1.322353	0.647059

1	6	2.564003	4.689957	0.6764708

1	6	2.580002	3.712015	0.7058825

1	6	3.459999	1.318062	0.7352943

1	6	2.543999	1.284323	0.7647061

1	6	2.559998	4.143637	0.7941179

1	6	2.580002	3.665895	0.8235297

1	6	3.435997	1.957746	0.8529415

1	6	2.560005	3.779384	0.8823533

1	6	2.603996	2.200306	0.9117651

1	6	2.588005	4.353849	0.9411769

1	6	3.399994	4.336214	0.9705887

1	6	2.552002	4.212168	1

