scored	WPSize	time	distnace	score
1	0.3	2.86	0.2944309	0.02941176

1	0.3	2.548	0.1992644	0.05882353

0	0.3	2.636	0.6645383	0.05882353

0	0.3	2.596	0.5869086	0.05882353

0	0.3	2.712	1.334539	0.05882353

0	0.3	2.592001	0.6892431	0.05882353

0	0.3	4.304	3.786588	0.05882353

1	0.3	2.568001	0.2306571	0.0882353

0	0.3	3.812	0.4187901	0.0882353

1	0.3	2.571999	0.2771453	0.1176471

1	0.3	2.860001	0.08626825	0.1470588

0	0.3	2.703999	2.257163	0.1470588

0	0.3	2.668003	0.3843022	0.1470588

1	0.3	2.571999	0.1494953	0.1764706

1	0.3	3.864002	0.1802627	0.2058824

1	0.3	2.551998	0.1803214	0.2352941

1	0.3	3.764	0.220214	0.2647059

1	0.3	2.580002	0.2095824	0.2941177

1	0.3	3.632	0.05195379	0.3235294

0	0.3	2.548	0.3251099	0.3235294

1	0.3	2.743999	0.1334146	0.3529412

1	0.3	2.584	0.06783392	0.3823529

0	0.3	4.199997	1.511843	0.3823529

0	0.3	2.620003	0.9062836	0.3823529

0	0.3	2.704002	0.456102	0.3823529

0	0.3	2.671997	0.8045577	0.3823529

0	0.3	2.956001	0.6212003	0.3823529

0	0.3	2.68	0.6491191	0.3823529

1	0.3	4.108002	0.09468579	0.4117647

0	0.3	2.603996	0.7867904	0.4117647

0	0.3	2.652	0.5361837	0.4117647

0	0.3	2.608002	0.3528192	0.4117647

1	0.3	3.832001	0.228585	0.4411765

1	0.3	2.552002	0.2748615	0.4705882

