,"0-100
0: like normal breathing
100: impossible","NASA-TLX (0-20)
0: very low 20: very high",(0-20),(0-20),(0-20),(0-20),(0-20)
trajectory,Difficulty,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
1,80,16,3,10,13,8,8
2,10,7,2,5,2,3,7
3,10,6,2,5,0,3,3
4,70,16,5,12,7,6,5
5,70,16,4,10,10,7,4
6,90,16,4,13,16,9,7
7,10,8,2,6,0,6,4
8,70,14,4,10,11,8,9
9,70,15,3,9,8,8,6
10,60,13,3,8,7,9,6
11,80,15,4,7,15,8,9
12,80,14,3,9,17,9,10
13,80,13,4,9,7,19,5
14,20,15,2,9,4,14,6
15,20,10,2,8,0,9,3
