scored	WPSize	time	distnace	score
1	0.3	2.864	0.1091823	0.02941176

0	0.3	2.544	0.3197688	0.02941176

0	0.3	4.364	1.092553	0.02941176

0	0.3	2.948	15.14287	0.02941176

1	0.3	3.072001	0.05406283	0.05882353

0	0.3	2.604001	0.4243948	0.05882353

1	0.3	2.716	0.2819852	0.0882353

1	0.3	2.552	0.0610079	0.1176471

1	0.3	3.875999	0.1368158	0.1470588

0	0.3	2.564001	0.6658806	0.1470588

1	0.3	3.892	0.2627447	0.1764706

0	0.3	2.571999	3.46864	0.1764706

0	0.3	3.540001	1.202294	0.1764706

1	0.3	2.560001	0.2259404	0.2058824

1	0.3	2.784	0.1665171	0.2352941

1	0.3	2.619999	0.1354921	0.2647059

0	0.3	2.827999	12.16822	0.2647059

0	0.3	2.752003	0.5363753	0.2647059

0	0.3	3.011997	15.80398	0.2647059

1	0.3	2.868	0.2445233	0.2941177

0	0.3	2.896	0.8073847	0.2941177

0	0.3	2.824005	2.9812	0.2941177

0	0.3	4.143997	0.3569293	0.2941177

0	0.3	2.556	0.6363388	0.2941177

0	0.3	4.192001	1.212911	0.2941177

0	0.3	2.652	0.8468687	0.2941177

0	0.3	2.804001	6.01186	0.2941177

1	0.3	2.619995	0.1383479	0.3235294

0	0.3	2.688004	1.303188	0.3235294

1	0.3	2.556	0.1320129	0.3529412

0	0.3	3.671997	0.6221194	0.3529412

1	0.3	2.568001	0.1368681	0.3823529

0	0.3	3.856003	0.5500896	0.3823529

1	0.3	2.692001	0.1289644	0.4117647

