scored	WPSize	time	distnace	score
1	6	2.872	2.154724	0.02941176

1	6	2.552	2.981413	0.05882353

1	6	2.556	5.111581	0.0882353

1	6	2.588	3.464496	0.1176471

1	6	3.408	1.439059	0.1470588

1	6	2.64	3.248997	0.1764706

1	6	3.424	1.763472	0.2058824

1	6	2.548	1.004146	0.2352941

1	6	2.691999	3.314236	0.2647059

0	6	2.652	6.099618	0.2647059

1	6	3.256001	2.747585	0.2941177

1	6	2.567999	2.985266	0.3235294

1	6	2.588001	3.701761	0.3529412

1	6	2.624001	3.118812	0.3823529

1	6	3.472	2.409586	0.4117647

1	6	2.551998	1.083399	0.4411765

1	6	2.596001	3.383759	0.4705882

1	6	2.584	5.283733	0.5

1	6	3.332001	1.952142	0.5294118

1	6	2.556	2.84008	0.5588236

1	6	2.588001	2.744928	0.5882354

1	6	2.552002	0.7865846	0.6176472

1	6	2.639999	2.992594	0.647059

1	6	2.612	2.832357	0.6764708

1	6	3.468002	2.478377	0.7058825

1	6	2.563995	4.476927	0.7352943

1	6	3.368004	0.947341	0.7647061

1	6	2.568001	3.353457	0.7941179

1	6	3.447998	1.971507	0.8235297

1	6	2.568001	2.522627	0.8529415

1	6	2.603996	3.1208	0.8823533

1	6	2.556	2.574165	0.9117651

1	6	2.556007	3.064724	0.9411769

1	6	2.551994	0.2500103	0.9705887

