Time	Trigger	autoControlCoef	UserInput	UserInput	UserInput	UserInput	AutoInput	AutoInput	AutoInput	AutoInput	CombinedInput	CombinedInput	CombinedInput	CombinedInput	DiffHumanAuto	DiffHumanAuto	CurrentPos	CurrentPos	CurrentPos	TargetPos	TargetPos	TargetPos	
0	0	1	0.006684638	0.02248289	1	0.6	-0.007394149	0.02231503	0	0.6	1.05283	3.374682	0.6016175	12	0.6807467	0.2248289	-840.5125	381	508.7144	-852.2344	381	481.0992	
0.004	1	1	0.006684638	0.02248289	1	0.6	-0.006441359	0.0222049	0	0.6	1.05283	3.37693	0.6016175	12	1.112177	0.3936032	-840.5125	380.9998	508.7143	-852.2344	381	481.0992	
0.008	0	1	0.006684638	0.02248289	1	0.6	-0.006372257	0.02214118	0	0.6	1.054523	4.557121	0.6016175	12	1.435751	0.5204891	-840.5125	380.9995	508.7142	-852.2344	381	481.0992	
0.012	0	1	0.006684638	0.02248289	1	0.6	-0.006320918	0.02211556	0	0.6	1.05462	5.148919	0.6016175	12	1.67843	0.6161113	-840.5126	380.9991	508.7141	-852.2344	381	481.0992	
0.016	0	1	0.006684638	0.02248289	1	0.6	-0.007090305	0.02212492	0	0.6	1.054746	5.74071	0.6016175	12	1.939569	0.6884688	-840.5127	380.9984	508.7138	-852.2344	381	481.0992	
0.02	0	1	0.006684638	0.02248289	1	0.6	-0.006241803	0.02216175	0	0.6	1.054897	6.332225	0.6016175	12	2.056294	0.7435304	-840.5129	380.9977	508.7134	-852.2344	381	481.0992	
0.024	0	1	0.006684638	0.02248289	1	0.6	-0.006223614	0.02222273	0	0.6	1.05507	6.923151	0.6016175	12	2.143838	0.7857726	-840.5131	380.9967	508.7129	-852.2344	381	481.0992	
0.028	0	1	0.006684638	0.02248289	1	0.6	-0.006210009	0.02230536	0	0.6	1.055267	7.513138	0.6016175	12	2.209496	0.8185529	-840.5134	380.9956	508.7122	-852.2344	381	481.0992	
0.032	0	1	0.006684638	0.02248289	1	0.6	-0.006199824	0.02240781	0	0.6	1.055489	8.10181	0.6016175	12	2.25874	0.8443894	-840.5138	380.9944	508.7114	-852.2344	381	481.0992	
0.036	0	1	0.006684638	0.02248289	1	0.6	-0.006192195	0.02252869	0	0.6	1.055738	8.688768	0.6016175	12	2.295672	0.8651705	-840.5142	380.993	508.7103	-852.2344	381	481.0992	
