scored	WPSize	time	distnace	score
1	0.3	2.86	0.2936762	0.02941176

1	0.3	2.548	0.1175597	0.05882353

0	0.3	2.636	0.4050156	0.05882353

1	0.3	2.599999	0.1406752	0.0882353

0	0.3	3.828001	0.4039052	0.0882353

0	0.3	2.555999	0.3975478	0.0882353

1	0.3	3.944	0.2158394	0.1176471

1	0.3	2.556002	0.2198023	0.1470588

0	0.3	2.74	1.098143	0.1470588

1	0.3	2.58	0.2419844	0.1764706

0	0.3	2.676001	0.4801983	0.1764706

1	0.3	2.591999	0.1823471	0.2058824

0	0.3	4.312	3.065734	0.2058824

0	0.3	2.704002	0.3111442	0.2058824

0	0.3	3.952	0.9385203	0.2058824

0	0.3	2.591999	1.027041	0.2058824

0	0.3	2.812	0.3773777	0.2058824

0	0.3	2.860001	3.102128	0.2058824

0	0.3	4.18	9.260179	0.2058824

1	0.3	2.667999	0.2200241	0.2352941

0	0.3	2.779999	0.4892201	0.2352941

1	0.3	2.576	0.07344705	0.2647059

1	0.3	2.652	0.05162194	0.2941177

1	0.3	2.584	0.1954076	0.3235294

0	0.3	3.779999	0.3894802	0.3235294

1	0.3	2.560005	0.2017644	0.3529412

0	0.3	3.959999	0.344269	0.3529412

0	0.3	2.648003	0.758103	0.3529412

0	0.3	2.767998	0.3074171	0.3529412

0	0.3	2.704002	1.781746	0.3529412

1	0.3	2.651993	0.2860933	0.3823529

0	0.3	2.548004	0.4029325	0.3823529

1	0.3	3.772003	0.09295742	0.4117647

1	0.3	2.556	0.08383682	0.4411765

